id,external_id,sku,mpn,mpn_normalized,manufacturer,name,status
5481,КА-00005573,,,,,Батарейка литиевая Panasonic BR-2/3A 3V с выводами /Китай/,active
5529,КА-00005621,,,,,"Аккумулятор Panasonic 4NCR18650BD- 3200mAh-10A 14.4V;страна происхождения Корея,Сеул",active
5538,КА-00005630,,,,,"2HHR-120AAB PANASONIC (Элемент питания),стр. ввоза Россия",active
5552,КА-00005644,,,,,Батарейка Panasonic 2BR2/3A 6V Китай/,active
6052,КА-00006147,,,,,Батарейка Panasonic BR-AGCF2W /Китай/,active
6098,КА-00006193,,,,,Аккумулятор Li-ion Panasonic 7.2V 1025mAh для фотоаппарата Panasonic DMW-BLG10E /Китай/,active
6136,КА-00006231,,,,,"Аккумулятор Panasonic 4*NCR18650BD- 3200mAh-10A;страна происхождения Корея,Сеул",active
6166,КА-00006263,,,,,ЭЛЕМЕНТ ПИТАНИЯ PANASONIC BR2477A/FBN /КИТАЙ/,active
6310,КА-00006407,,,,,Элемент питания литиевый PANASONIC BR2330/F3N 3V /Китай/,active
6535,КА-00006632,,,,,Элемент питания литиевый Panasonic BR1632 A/VAN 3V /Китай/,active
6536,КА-00006633,,,,,Элемент питания литевый Panasonic CR2450 G1AN 3V /Китай/,active
6611,КА-00006708,,,,,Элемент питания литиевый Panasonic VL2330/HFN 3V /Китай/,active
6664,КА-00006762,,,,Panasonic,Panasonic eneloop BK-3MCCE / AA,active
6978,КА-00007077,,,,,Элемент питания литиевый PANASONIC BR2330/F3N 3V ВО /Китай/,active
7020,КА-00007119,,,,,Элемент питания литиевый Panasonic BR2477A/GA 3V /Китай/,active
7021,КА-00007120,,,,,Элемент питания литиевый Panasonic CR2477NRH-LF 3V /Китай/,active
7022,КА-00007121,,,,,Элемент питания литиевый Panasonic CR2477NFH-LF /Китай,active
7032,КА-00007131,,,,,Аккумулятор свинцово-кислотный Fiamm 12FGHL55 12V55AH /Китай/,active
7033,КА-00007132,,,,,Аккумулятор свинцово-кислотный Fiamm12FGL100 12V100AH /Китай/,active
7241,ФР-00000235,,,,,"Элемент питания литиевый PANASONIC СR2450 3V 620mAh с выводами. страна изг-ль - Япония, из-Гонконг",active
7242,ФР-00000236,,,,,Элемент питания литиевый PANASONIC СR2354 3V 560mAh с выводами. страна изг-ль - Япония,active
7243,ФР-00000237,,,,,"Аккумулятор Panasonic NCR 18650B  3400mah 3,7V (защита). Производство: Япония, из- Гонконг",active
7279,ФР-00000281,,,,,Элемент питания литиевый PANASONIC СR2450 3V 620mAh. страна изг-ль - Япония,active
7297,ФР-00000300,,,,,"Элемент питания PANASONIC CR-123APA/B, пр-во Япония, страна ввоза Россия",active
7370,ФР-00000382,,,,Panasonic,Panasonic BR1225,active
7394,ФР-00000407,,,,,Элемент питания литиевый PANASONIC СR2330 3V  с выводами.,active
7396,ФР-00000410,,,,,Элемент питания литиевый PANASONIC BR1225 3V  48mAh  Ввоз: РФ.,active
7463,ФР-00000489,,,,,Эл.питания PANASONIC Lithium CR2 BP 5025232016082,active
7594,ФР-00000633,,,,Panasonic,Panasonic 2CR5,active
7595,ФР-00000634,,,,Panasonic,Panasonic BR1225,active
7596,ФР-00000635,,,,,Эл. Питания литиевый Panasonic BR1225/1F4C  Производство: Япония. Ввоз: Литва,active
7597,ФР-00000636,,,,,Эл. Питания литиевый Panasonic CR2450 с выводами. Производство: Япония. Ввоз: Литва,active
7598,ФР-00000637,,,,,Эл. питания литиевый PANASONIC CR2354 с выводами (1VC) 3V 560mAh. Страна изг-ль - Япония Производств,active
7599,ФР-00000638,,,,,Эл. питания литиевый PANASONIC CR2330 с выводами (1HF1) 3V Производство: Япония. Ввоз: Литва,active
7600,ФР-00000639,,CR2012,cr2012,Panasonic,Panasonic CR2012,active
7603,ФР-00000642,,,,,A23 alkaline 12V Panasonic алкалиновая батарейка Производство: Китай. Ввоз: Литва,active
7604,ФР-00000643,,,,,NCR 18650B 3400mah Panasonic with protect  Производство: Япония. Ввоз: Литва,active
7605,ФР-00000644,,,,,NCR 18650B -3400MAH  Panasonic  Производство: Япония. Ввоз: Литва,active
7607,ФР-00000646,,,,,"LR44 1,5 Panasonic alkaline алкалиновая батарейка Производство: Китай. Ввоз: Литва",active
7634,ФР-00000673,,,,,Элемент питания литиевый Panasonic BR-2/3A 3V /Китай/,active
7740,ФР-00000793,,,,Panasonic,Panasonic BR1225,active
7741,ФР-00000794,,,,,"Элемент питания литиевый PANASONIC СR2450 3V 620mAh с выводами. страна изг-ль - Япония, из-Литва",active
7752,ФР-00000805,,,,Panasonic,"Литиевая батарейка Panasonic BR-2/3A, 3 В",active
7759,ФР-00000812,,,,,Panasonic  NCR18650B 3400mAh аккумулятор Производство: Япония. Ввоз: Литва,active
7772,ФР-00000825,,,,,"Аккумулятор Panasonic eneloop pro BK-3HCDE/4BE 2500мАч AA BL4, стр. ввоза Россия",active
7812,ФР-00000869,,,,,PANASONIC Lithium CRP2 BP Элемент питания. Производство США.,active
7910,ФР-00001022,,,,,PANASONIC Lithium  2CR5 BP. Эл. Питания  Производство: США.,active
