external_id;name;slug
КА-00007130;АККУМУЛЯТОР HR 1234W (BB Bettery), КИТАЙ;draft-3888ac94b960e2e3
КА-00007131;Аккумулятор свинцово-кислотный Fiamm 12FGHL55 12V55AH /Китай/;draft-8ac3a0f90cb3c9bd
КА-00007132;Аккумулятор свинцово-кислотный Fiamm12FGL100 12V100AH /Китай/;draft-9d95984e7b505acc
КА-00007133;Аккумулятор 4Ni-mh SUNER SC 4.8V 3000mah 10С /Китай/;draft-53b1d10602f83f9a
КА-00007134;Аккумуляторная батарея Sonnenschein  F512/120А;draft-8d0913d1cccfb3e9
КА-00007135;Аккумуляторная батарея GEL 12-55 Delta, ZY101FA /Китай/;draft-abcda3b5e8fb9d8a
КА-00007136;Аккумулятор LiFePO4 RADIAN 80V 900Ah /Китай/;draft-dd31333096fb552d
КА-00007137;Аккумулятор LiFePO4 Goxuan 3.2V 30Ah /Китай/;draft-c0df4cbe8c596d33
КА-00007138;Аккумулятор LiFePO4 Goxuan 3.2V 40Ah /Китай/;draft-d034fc577e844102
КА-00007139;Антенна для TC-700 /Китай/;draft-b6a78aecabc8db99
КА-00007140;Аккумулятор Ni-MH HYT BH1801 7.4V 1800mAH /Китай/;draft-177cd4fe201c9c23
КА-00007141;Штекер SMA-male для радиостанции ТС700 /Китай/;draft-f36ab1104057398d
КА-00007142;Аккумулятор Li-ion HONEYWELL BAT-SCN05 3.7V 2450mAh /Китай/;draft-3b76efb3126bb50a
КА-00007143;Аккумуляторная батарея 2DT 4045 (47*47*101/105) 4V 9000mAh Delta/Вьетнам/;draft-0d65f0ca0a4f3b88
КА-00007144;Аккумулятор Ni-MH 5*FDK HR-4/5AU 6V 2150mAh /Китай/;draft-44bbacf85eb4599c
КА-00007145;Аккумулятор литиевый 3*SAMSUNG INR18650-25R 3,7B 2500mah 20A;draft-2c8e247402f0103a
КА-00007146;Лабораторный блок питания LW-3010E для подключения и тестирования устройств силой тока до 10A/Китай;draft-7ef524c0988d30b0
КА-00007147;DC-DC преобразователи (Конверторы) RSD-30H-12;draft-52a917df846df3fe
КА-00007148;DDR-120D-24, DC/DC преобразователь, 120Вт, вход 67.2-154В, выход 24В/ 5A;draft-925d0a9db00ef1c3
КА-00007149;"Аккумулятор ФАZА АА 3000 MqH USB (Type-C); происх. КИТАЙ";draft-cfc2bff7b0536e73
КА-00007150;Аккумуляторная батарея LiFePO4 25.6В 15Ач на элементах 26700 (8S3P);draft-1ddfc8d41b7c9aec
РБ-00000002;Аккумуляторные батареи EnerS NS12-9;draft-f3bdedd977196b80
РБ-00000003;Батарейка Renata R346 (SR712 SW) Производство: Швейцария. Ввоз: Литва;draft-4f0d0729b24bc17c
РБ-00000008;Аренда офиса;draft-b87b83d5d7ec125d
РБ-00000010;ТН-2 (сер.ЖХ 0602151-0602250);draft-63af5f720dcafc01
РБ-00000011;Аккумулятор  3Samsung 18650Fm 2200 mAh 3,7V Страна ввоза: Гонконг. Производство: Каре;draft-388b7ecbc754f949
РБ-00000012;Аккумулятор 10Ni-MH АА 12V 3000mAh 10С Страна ввоза: Гонконг. Производство: Китай;draft-6c1bf5b81c82d2cf
РБ-00000015;Каталог 170х225 мм, 4+4, обложка 200г/м2, тонк.мат.лам. 1+1, внутр.блок 8 стр. бумага 150г/м2, 2 ско;draft-5ad7d150879c2333
РБ-00000016;Визитки 90х50 мм, 4+4, бумага 300 г/м2, тонк.мат.ламин. 1+1, 1 комп. = 96 шт.;draft-0558d86631c4861b
РБ-00000019;Таможенный сбор;draft-3578be28abfe3889
РБ-00000021;таможенная пошлина;draft-dd59d459c9022c50
РБ-00000022;таможенный ввозной НДС;draft-2a76be4a04353c85
РБ-00000023;Элемент питания Renata CR2032MFR SC;draft-083c819409865517
РБ-00000025;Регистрация статистической декларации в ТО;draft-55d373fc79fb0d54
РБ-00000026;Размещение предложения для участия в аукционе;draft-3f2ee5275d98ee16
РБ-00000029;Регистрация и размещение ТС;draft-49a9b5d7d6f54983
РБ-00000031;Публикация вакансий;draft-972ac27647c20278
РБ-00000034;аренда помещений;draft-e8da8b9be3f6dd13
РБ-00000036;заправка картриджа;draft-b6b93a289d4dff7a
РБ-00000040;пополнение рекламного аккаунта на интернет площадке;draft-bb34552bd878f65e
РБ-00000041;Автомобиль марки Mazda CX-5;draft-a01f5d5a4f0fcf5d
РБ-00000042;лизинговая ставка;draft-262de4977e02d66d
РБ-00000043;погашение стоимости предмета лизинга;draft-2e5b2756af6a44d6
ФР-00000003;Аккумулятор 6FDK Ni-MH HR-4/3AU 4000mAh 7,2V Страна ввоза: Гонконг. Прозводство: Япония.;draft-32a744192a55fcc9
ФР-00000005;Аккумуляторная батарея Delta DT12012 12В 1,2Ач  Страна ввоза: РФ, Страна изготовитель: Китай.;draft-0ff19da41b108146
