external_id;name;slug
КА-00002061;Аккумулятор карбоновый Delta CGD 12-100;draft-e900f1bb42fd6b36
КА-00002062;CR14250H/EHR-02 FANSO БАТАРЕЯ ЛИТИЕВАЯ-ДИОКСИД МАРГАНЦЕВАЯ / Китай;draft-dd6eaa0fb5ade12a
КА-00002063;Аккумулятор CYCLON Emb 4V/8 Ah (0859-0010N0d2) /США/;draft-17a6c811fb3ced88
КА-00002064;Аккумулятор KingMa BP-285W V-Mount 14.8V 285Wh;draft-1dab761a30aa3c43
КА-00002065;Элемент питания ROBITON ER9V-SR;draft-4c2c249bb5f77991
КА-00002066;Аккумулятор LiPo 14,8V 1300mAh 150C /Китай/;draft-2818934f130d1e98
КА-00002067;Аккумулятор NiMH ВЕ223000 3,6V 1,0 Ah /Китай/;draft-836b7085c68bcda9
КА-00002068;AC-DC преобразователь UHP-500-24 / Китай;draft-bc3b40824f9ef149
КА-00002069;Эл. Питания литиевый Forte ER26500CNR Пр-во: Китай;draft-d88932725d31f250
КА-00002070;Эл. Питания литиевый Forte ER26500 with PH-2 /Китай/;draft-c7b01cf375f27119
КА-00002071;ER14335H/S FANSO БАТАРЕЯ ЛИТИЕВАЯ / Китай;draft-544c7d5311990c1e
КА-00002072;Аккумуляторная батарея DTM 12012 Delta, WWQI8CH /Вьетнам/;draft-e39e0c9780c2dd5c
КА-00002073;Аккумуляторная батарея Delta HRL 12-211 W , 88QMH51 /Вьетнам/;draft-6c5ffa27eeb2f4b7
КА-00002074;Аккумулятор CSB HR 1221W F2 (12V/5Ah);draft-f6ec983abd065ac8
КА-00002075;Аккумуляторная батарея Delta HRL 12-9 /Китай/;draft-77ad5d341f08d257
КА-00002076;Аккумуляторная батарея Delta HRL 12-9 X, 6AZ8FQR /Китай/;draft-789b526fd868aa56
КА-00002077;Модуль GSM/GPRS Quectel UC15EB-128-STD;draft-2f2d1866ed278c5d
КА-00002078;"Элемент питания 30952867 Kodak MAX alkaline AA battery LR6 Bl.4 ; Страна происхождения- КИТАЙ";draft-310982b5a14b320c
КА-00002079;"Элемент питания 30951990 Kodak Xtralife alkaline AAA battery LR03 BL.4 ; Страна происхождения - КИТА";draft-054a76f89ff9efea
КА-00002080;"Элемент питания 30952041 Kodak Xtralife alkaline C battery LR14 BL.2; Страна происхождения - КИТАЙ";draft-db96d4e6b0c69ba7
КА-00002081;"Элемент питания 30411555 Kodak ULTRA Lithium CR2016 BL.5 battery ; Страна происхождения - КИТАЙ";draft-bbcd374bfd766c5a
КА-00002082;"Элемент питания 30411562 Kodak ULTRA Lithium CR2025 BL.5 battery ; Страна происхождения - КИТАЙ";draft-0c4c67cc4e9f5288
КА-00002083;"Элемент питания 30952010 Kodak Xtralife alkaline 9V battery LR22 BL.1; Страна происхождения - КИТАЙ";draft-f162eafd0d2c0003
КА-00002084;"Элемент питания 4120 229 412 VARTA Energy D/LR20 bl.2;Страна происхождения - ГЕРМАНИЯ";draft-c40e9a31b42b0c34
КА-00002085;ENERGIZER L91 Industrial AA/FR6 Lithum 1,5V 10pack.Страна происхождения - СИНГАПУР;draft-9717ae2fad53aae9
КА-00002086;SCT2511H-02P (EHR-2), Корпус разъема розетка на кабель 2.5мм 2pin (без контактов);draft-7b7f8e9cad3eee81
КА-00002087;Аккумулятор Amperin для Vertex VX-228, VX-230, VX-231 UHF (FNB-V103) Ni-MH 1200mAh 7.4V;draft-157ea38e6f1c1edb
