external_id;name;slug
00-00000001;LS 17500 SAFT литиевый элемент Производство: Франция..;draft-24365a81fc87cc83
00-00000007;1S1P VL 34570 аккумулятор литий-ионный., страна ввоза Россия;draft-f6f020665324eb27
303129;БАНКА ДЛЯ СЫПУЧИХ ПРОДУКТОВ пластмассовая 1,4 л (арт. 30312, код 303129);draft-2498cb1a2208ca31
КА-00000005;Аккумултор ni-mh для FLUKE BP190, производство Китай;draft-a67688ef959f297b
КА-00000006;Элемент питания Трофи R14-2S Классика;draft-f68eccf718795f76
КА-00000007;Аккумулятор  884765 3,7В 3200мАЧ;draft-3cf51da6edc17549
КА-00000008;Элемент питания литьевые CR 2032, производство Китай;draft-8b5ad1691ce08e49
КА-00000009;Корпус BS для элементов питания CR2032 3,0V (расстояние между выводами 20мм);draft-284d0f457c4e0c7d
КА-00000010;Корпус BS для элементов питания CR2450 3,0V (расстояние между выводами 20мм);draft-72520b7e2787ffd6
КА-00000011;Аккумулятор Amperin для Motorola CP серии DP1400 EP450 GP3188 GP3688 PR400 Ni-MH 1800mAh 7.5V;draft-c8a324d5f2741831
КА-00000020;Сетевой фильтр 1,8 м 6 розеток 2,2 кВт DEFENDER DFS 151 белый (99489);draft-84bd84339c24373a
КА-00000022;"Элемент питания 4223 101 401 VARTA Electronics V23GA bl.1; Страна происхождения - КИТАЙ";draft-e5d1a9aba55afbaf
КА-00000023;Аккумуляторная батарея GPL 12-100 М8(Ventura) Вьетнам;draft-af2ca1558804468f
КА-00000024;Аккумулятор CameronSino CS-TES350SL P122.00019 страна происхождения -КИТАЙ;draft-8b0675bb1aff1f7a
КА-00000031;Эл. питания PANASONIC Lithium CR123LA BL.1, производство Индонезия;draft-a60a018f614858d8
КА-00000033;Элемент питания 30415508 Kodak ULTRA  lithium CR2450 BL.5 стр. происхождения: Китай;draft-8d39556303476f34
КА-00000034;Аккумулятор MHB MS 28-12 страна происхождения - Китай;draft-70625da7d8673073
КА-00000035;Аккумулятор 5*AA 2200mah 6V ni-mh Производство: Китай. Ввоз: Литва;draft-0655a983ce23e2cf
КА-00000039;Лампа светодиодная RockForce RF-08505;draft-9ec988d93b2ec55a
КА-00000040;Аккумулятор ROBITON 4500MHC-2 BL2.Стр.происх.:Китай;draft-58cf2ec13e3b658a
КА-00000043;DT12008 (Т13) Delta Аккумуляторная батарея;draft-909f705fe79c07e1
КА-00000044;Контроллер заряда Delta PWM 2410L;draft-79e937659c258495
КА-00000045;Светодиод IK SFH 4640 /Тайвань/;draft-dbfe9709623ce3d5
КА-00000046;"Аккумулятор Panasonic NCR18650B- 3350mAh-6.7A;страна происхождения Япония";draft-c1dc6de40f1b8687
КА-00000047;Элемент питания 4LR44 6V (Китай);draft-0ea8ebe271b8817d
КА-00000049;Батарея ROBITON STANDARD 6LR61 9V BULK 100, в упак 100шт, стр. происх.Китай;draft-a195b7a1578bd89a
КА-00000050;Аккумулятор ROBITON 4500MHC-2 BL2, страна происх.Китай;draft-a846366e4ee89874
КА-00000052;Аккумуляторная батарея Turbosky FNB-V106,страна ввоза Российская Федерация,страна изготовления Китай;draft-0db7101663046637
КА-00000053;"Элемент питания 703243 Renata 377 MP 0% Hg Bl.10; Страна происхождения -ШВЕЙЦАРИЯ";draft-ba5f0aa9ee7a7907
КА-00000054;"Элемент питания 703236 Renata 364 MP 0%Hg Bl.10; Страна происхождения -ШВЕЙЦАРИЯ";draft-4e23e7daec1bc0f8
КА-00000057;Аккумулятор Ni-mh  10 AA 12V 2500mah, производство Китай;draft-20d8044eaf4deaaa
КА-00000058;Аккумулятор MS Ni-Mh AAA 700мАч 1,2В Страна ввоза: Китай.;draft-735b0a109e79475a
КА-00000059;Bank change (Комиссия банка);draft-690ef238f689ee0a
КА-00000060;Аккумулятор Ni-mh PMNN4000 1100mah /Китай/;draft-bc76c973a11e102e
