external_id;name;slug
КА-00006126;Лист стеклотекстолит 0,5х1000х2000мм;draft-1783fbc4f718b9c6
КА-00006127;Аккумулятор литиевый I2CP103450DA(п) Moli 7,4V 2200mah /Китай/;draft-4c524063bae92ad7
КА-00006128;Скоросшиватель пласт. А4 Бюрократ 0,16мм прозр.верх желт. PS20yel/816310 страна происхождения Россия;draft-bc97cc2c31ce4af5
КА-00006129;Кальк-р бух. 12р.Eleven SDC-888TII черный SDC-888TII страна происхождения Китай;draft-eff8cfe4b8bec65a
КА-00006130;Салфетки влажн.72шт.Salfeti.Antibakterial антибактер. 48397 страна происхождения Россия;draft-a8ff05f586f7913e
КА-00006131;Элемент питания литиевый Fanso ER26500 с разъемом BLS-2 /Китай/;draft-df6c952a14900971
КА-00006132;Аккумулятор 78EVE ICR18650/26V 48V 15,6Ah / Китай /;draft-bdfbced1dfd1192a
КА-00006133;Аккумулятор литиевый SAMSUNG 3INR18650-25R  11,1V2500mah 20A страна происх. Корея;draft-ea6576e9e9186a22
КА-00006134;Самоклеящаяся этикетка напечатанная 130*55 / пленка;draft-fbc3f2d9cb7136eb
КА-00006135;"Элемент питания DURACELL basic HBDC MN 1500 LR6 bl.16 (Simply); Страна происхождения - КИТАЙ";draft-4eee6547fb2d891c
КА-00006136;Аккумулятор 2EVE ICR18650/26V 3,7V 5200mAh / Китай /;draft-489e5dc86d54918e
КА-00006137;Календари квартальные;draft-586002b0992477e6
КА-00006138;Аккумулятор литиевый SAMSUNG 8INR18650-25R 14,4B 5000mah 20A. /Ю.Kорея;draft-93c5e969aad6f114
КА-00006139;Аккумулятор литиевый 7EVE INR18650-2500mah-8C /Китай/;draft-9646eb7a0b10a2bb
КА-00006140;EVX6-245C WBR Аккумулятор /Россия/;draft-b035243ab0538a0a
КА-00006141;Аккумулятор 16Lifepo4 26700 12.8V 18400 mAh /Китай/;draft-955e52e346a9148f
КА-00006142;Аккумулятор Cameron Sino CS-PAX930BL 7.4V 2200mAh /Китай/;draft-daa62af31ed789e3
КА-00006143;Лист А5 Н 4,0х1200х3000 ГОСТ 21631 Код товара: 24.42.24 (согласно ОКРБ 007-2012) Страна происх. РФ;draft-09de420dbe572f69
КА-00006144;Аккумулятор 4EVE ICR18650/26V 14,4V 2600mAh /Китай/;draft-78a820b9b23f1fe5
КА-00006145;Кабельный ввод 6х12.5х8х5.5х1.5 / диаметр кабеля 6мм, диам. монтажного отв. 8мм, резина, черн, Китай;draft-a4a30189a4ced9ce
КА-00006146;Аккумулятор 2Ni-MH RADIAN R20 10000mAh 2.4V /Китай/;draft-f91c72e370a4f4a4
КА-00006147;Батарейка Panasonic BR-AGCF2W /Китай/;draft-0f87fcdc53202bdb
КА-00006148;Аккумулятор LiFePO4 RADIAN 48V 460Ah /Китай/;draft-7a5496898deab9a1
КА-00006149;Зарядное устройство 48V 100А LIFE /Китай/;draft-61d617912a75bbf5
КА-00006150;Киянка резиновая STARTUL Master 0.45кг (ST2010-65) (КИТАЙ);draft-b4f9e60ded40a27d
КА-00006151;Клещи для снятия изоляции 205 мм TOPTUL (DKAA2226) (ТАЙВАНЬ (КИТАЙ);draft-1a0b6839befad4d2
КА-00006152;Канифоль REXANT A 100г (09-3711) (РОССИЯ);draft-7ea1cc69e8e5e901
КА-00006153;Светильник светодиодный 20 Вт 6500К IN HOME СПБ-Т5-PRO (КИТАЙ);draft-48d030edcafa7bd8
КА-00006154;Саморез с прессшайбой 4,2х19 мм цинк острый STARFIX 1000 штук ((SMC2-32770-1000) (КИТАЙ);draft-b9b61c89704b8043
КА-00006155;Хомут-стяжка 2,5х120 мм черный STARFIX 100 штук (SMP-35406-100) (КИТАЙ);draft-88923f201c7ef064
КА-00006156;Шнур ШВВП-с 2х0,75 АВТОПРОВОД 20 м белый (Беларусь);draft-dc702c06a774166f
КА-00006157;Аккумулятор FDK Ni-MH HR-4/3AU 1,2V 4000mAh /Китай/;draft-e0803bf7e333b81f
КА-00006158;Аккумулятор Ni-MH FDK HR-AU 17500 1.2V 2700mAh /Китай/;draft-8f9c0789bf6da344
КА-00006159;Аккумулятор Ni-MH FDK HR-4/5AU 1.2V 2150mAh /Китай/;draft-9fb82e41726d82a0
КА-00006160;Провод 10AWG red 300mm /Китай/;draft-d189c3fcac03843e
КА-00006161;Провод 10AWG red 300мм /Китай/;draft-06560a15a188ec0a
КА-00006162;Провод 10AWG black 250мм /Китай/;draft-042d8b37f3fd51c0
КА-00006163;Кембрик ф3мм, 17мм /Китай/;draft-4195f8d28524c4a4
КА-00006164;Кембрик ф6мм, 45мм /Китай/;draft-3d8ee706d8f90a78
КА-00006165;Кембрик ф3мм,17мм /Китай/;draft-dc31d0130be93550
КА-00006166;Аккумулятор NI-MH HNN9008A 7.2V 1800mAh /Китай/;draft-2696bccfe5d7c77d
КА-00006167;Аккумулятор Ni-Mh BL-1801 (1703) 7,2V 1800 mAh BO/Китай;draft-83030e7a43985379
КА-00006168;Аккумулятор Li-ion FNB-Z109 7.2V 1200mAh /Китай/;draft-f2fb644b04f22f92
КА-00006169;Элемент питания литиевый BR2477A/FBN /Китай/;draft-831eef1a2f69c665
КА-00006170;Аккумулятор Li-Pol 113850 3.7V 3000mAh /Китай/;draft-de1c77b106f9aa24
КА-00006171;Плата BMS JBD DB24SA05-L24S-150A /Китай/;draft-2cc04ba7d44deb96
КА-00006172;Дисплей JBD /Китай/;draft-6ab07b4a84428731
КА-00006173;Сварочный аппарат для точечной сварки 801D /Китай/;draft-9e9df761f39677c8
КА-00006174;Аккумулятор Li-ion INR21700-40T 3.6V 4000mAh /Китай/;draft-a7aaeb679afde04d
КА-00006175;Ионистор DCS5R5334VF 5.5V/0.33F /Китай/;draft-8543badfa225d9b0
КА-00006176;Элемент питания литиевый Sunmoon ER26500 3.7V с коннектором EHR-2 /Китай/;draft-3967eb52f5866cce
КА-00006177;Элемент питания литиевый Sunmoon ER18505 3.6V с коннектором EHR-2 /Китай/;draft-5877e8ad33ace1b6
КА-00006178;Аккумулятор Li-Pol 9759156 3.7V 10000mAh 5C/10C /Китай/;draft-b72143243d2ce62c
КА-00006179;Пластина подогрева для аккумулятора LIFEPO4 48V 280AH /Китай/;draft-b412a7a472f193e5
КА-00006180;Элемент питания солевой RADIAN 4R25 /Китай/;draft-147332c105e1928d
КА-00006181;Аккумуляторная батарея LiFePO4 EVE LF304 3.2V 304Ah /Китай/;draft-b19a3529038f204b
КА-00006182;Аккумулятор LiFePO4 32700 3.2V 6000mAh /Китай/;draft-19cfd279f2f69294
КА-00006183;Аккумулятор Ni-MH AA800mAh 1.2V /Китай/;draft-f797c37f0ec015c7
