external_id;name;slug
КА-00006628;Хомут-стяжка 2,5х100 мм черный 100 штук (SMP-93631-100) (РОССИЯ);draft-cee0eb1fedd0da8c
КА-00006629;Тонкогубцы 160 мм STARTUL Standart (ST3072-16) (КИТАЙ);draft-18872810aefdf4d5
КА-00006630;Винт с внутренним шестигранником М6х10 мм цинк класс точности 8.8 DIN 912 STARFIX 25 штук (КИТАЙ);draft-cf5aabc46495c74d
КА-00006631;Светодиодный цифровой индикатор LED CS12011A /Китай/;draft-14070b022fba316e
КА-00006632;Элемент питания литиевый Panasonic BR1632 A/VAN 3V /Китай/;draft-6d7b588c48a0341c
КА-00006633;Элемент питания литевый Panasonic CR2450 G1AN 3V /Китай/;draft-a9f8f02474e2bf14
КА-00006634;Аккумулятор Li-pol 744348 3,8V 2700mah /Китай/;draft-16bc4adb478c593b
КА-00006635;Аккумулятор Li-pol 385011 3,7V 3000mah /Китай/;draft-443cd10662192b9d
КА-00006636;Аккумулятор Li-pol 503811 3,8V 3000mah /Китай/;draft-b91a640920aeab60
КА-00006637;Влажные салфетки детские Senso Baby с пандой  (72шт);draft-c1f4a248efae93bc
КА-00006638;Аккумуляторная батарея DT 12032 Delta, 3L704X0/ Китай/;draft-c8ee9f444ea3af80
КА-00006639;Аккумуляторная батарея DT 6045 Delta, L53V0AR/ Китай/;draft-1e53ca619d09dbcc
КА-00006640;Карта памяти Netac 8Gb;draft-210e3fd00a853ac5
КА-00006641;Ремень 1750160324 размер: 10*460*0.65;draft-97945105562aba28
КА-00006642;Корпус АКБ 500х400х400;draft-c20f6597c65c5fbb
КА-00006643;Корпус АКБ 1210х419х785;draft-32a825772b133e1d
КА-00006644;Лист х/к отож 0,5х1250х2500 08пс КК5;draft-c74a0ed78609423d
КА-00006645;Лист х/к отож 1,2х1250х2500 08пс КК4;draft-4850508284957013
КА-00006646;Лист г/к 2х1250х2500 КК9 ПП Ст3сп, РОССИЯ, РФ;draft-c8c9732a2848da31
КА-00006647;ER14505H/S EHR-2 Батарейки литиевые Fanso /Китай/;draft-eaa2fe1ba6923526
КА-00006648;LS 14250 (SAFT) Литьевый элемент питания, JZSP-BA01 - Франция;draft-0abd59aa56a9cae2
КА-00006649;Модуль встроенный GPS ENJH;draft-d2ba86003d8470f4
КА-00006650;Модуль наружный GPS ENJH;draft-8ad8a99fd0abf903
КА-00006651;CR14250H/2PT FANSO БАТАРЕЯ ЛИТИЕВАЯ /Китай/;draft-e711f7457c72731f
КА-00006652;Аккумуляторная батарея Kijo 12V EVG 60Ah (C3) (M6) GEL/ Китай/;draft-f8874e7c6072226e
КА-00006653;ЛДСП 1000*400*18мм Белый;draft-2316afeef1ca19eb
КА-00006654;CR14250E/2PT FANSO БАТАРЕЯ ЛИТИЕВАЯ /Китай/;draft-913329289dfe4b60
КА-00006655;Аккумулятор литиевый EVE 7*INR18650 25,9V 2500 mAh 8C /Китай/;draft-17863f90ea5757ba
КА-00006656;Аккумулятор Ni-Mh NNTN4018А 7.5V 2200mAh /Китай/;draft-d465dccf42729980
КА-00006657;Аккумулятор LiFePo4 EVE MB30 3.2V 306Ah /Китай/;draft-8c39f0ffb9a3dddb
