external_id;name;slug
КА-00002571;CR14250H/P FANSO БАТАРЕЯ ЛИТИЕВАЯ-ДИОКСИД МАРГАНЦЕВАЯ(6FC5247-OAA18-OAAO 3V)Пр.;draft-b34fb28fe1a082be
КА-00002572;"Элемент питания 6205 301 401 VARTA CR123 A BL.1; Страна происхождения - КИТАЙ";draft-9f245f85c088f155
КА-00002573;Стаканы (200мл,20шт);draft-72d624ff1b25c09d
КА-00002574;"Конс.мол.""МОЛ.СГУЩ.""(цельн,8.5%,д/п)270г";draft-9ddd1ca5b7e14376
КА-00002575;Клементин 1кг;draft-392d2ea36b7322de
КА-00002576;"Чай ""GREENFIELD"" (черн,gold ceylon)100x2г";draft-6886064bad9e118a
КА-00002577;"Конфеты ""ДАЁЖЪ!""(карам/арах/криспи)500г";draft-2f60238c09fc0526
КА-00002578;"Конфеты глазиров.""КРАСНАЯ ШАПОЧКА"" 500г";draft-e70815e6b2b1e23f
КА-00002579;LRS-50-5, Источник питания, Блок питания,5В,10А,50Вт\MEAN WELL;draft-8b3bb52fefbe6f44
КА-00002580;G1025B, Корпус для РЭА 197х113х63мм, пластик, черный\Gainta;draft-8b92a62fb756277c
КА-00002581;16K1-A1K, L20KC, 1 кОм, Резистор переменный\Song Huei;draft-dfc41d04e9d2274a
КА-00002582;Клеевые стержни Matrix 930731, страна производитель КИТАЙ;draft-0b9c013e153c68ff
КА-00002583;Клеевые стержни Vorel 73300, страна производитель ПОЛЬША;draft-631ac7f707c7a021
КА-00002584;"BD-8001 Колодки тормозные LYNXauto; страна ввоза - Германия";draft-e3c2d08364f47d3d
КА-00002585;Термоскотч 20mm*33m, страна ввоза Российская Федерация, страна изготовления Китай;draft-fd2e936d3b753a1e
КА-00002586;Термоскотч 40mm*33m, страна ввоза Российская Федерация, страна изготовления Китай;draft-1d3ffbc7931feb7a
КА-00002587;Зарядное устройство для батарей ROBITON LAC612-1000 BL1;draft-5c8403e9231033f0
КА-00002588;ER26500H/S FANSO БАТАРЕЯ ЛИТИЕВАЯ EHR-2 / Китай;draft-75cb8ae33081b891
КА-00002589;Аккумуляторная батарея GX 12-12 Delta,FL8HBF8 /Вьетнам/;draft-bc153b18c14c6039
КА-00002590;Адаптер-блок питания ROBITON USB1000 white 1000mA с USB входом BL1;draft-62b57ba5c45190e4
КА-00002591;EA654_EXIDE Аккумуляторная батарея 6 5Ah Казахстан;draft-00cb8bef5f3bf07f
КА-00002592;"Элемент питания SAFT LS33600 D Lithium 3,6V; Страна происхождения - ФРАНЦИЯ";draft-71264381ca4cdfc4
КА-00002593;Аккумуляторная батарея Delta DTM 1233 L;draft-0e9ebed6e3019559
КА-00002594;"Элемент питания CP LR03; происх. КИТAЙ; штрих код - 4895205027725";draft-c5ab54a64155ad37
КА-00002595;"Элемент питания ФАZА CR2032 BL5; происх. КИТАЙ; штрих-код - 4895205003217";draft-1f8251859866a400
КА-00002596;Аккумуляторная батарея Sonnenschein A606/200 (6V 4 OPzV200), ИСПАНИЯ;draft-5118f27f52df6feb
КА-00002597;Аккумулятор Ventura GP 12-5 (12V/5Ah), ВЬЕТНАМ;draft-fe23a75f0a027c45
КА-00002598;Термоусадочная трубка d=3мм черная (200м), РФ;draft-54430bcec216c96a
КА-00002599;Батарейка GoPower R20 D Shrink 2 Heavy Duty 1.5V (2/12/288);draft-7e8d2b0869e9e8e1
КА-00002600;Аккумуляторная батарея SF 1212 Security Force , 2022080306 /Китай/;draft-99dd62d89189f6c8
КА-00002601;Аккумулятор Ni-MH PMNN4477A 3,6V 1500mah /Китай/;draft-199f02ffccdeb1c3
КА-00002602;Аккумуляторная батарея FT12-105M Delta;draft-8e8f140aa1e811a2
КА-00002603;"Элемент питания SAFT LS26500 C Lithium 3,6V; Страна происхождения - ФРАНЦИЯ";draft-e8cbd1fae4049e23
КА-00002604;"Элемент питания SAFT LS14500 СNR  AA Lithium; Страна происхождения - ВЕЛИКОБРИТАНИЯ";draft-b4f98920d2e4d606
КА-00002605;Аккумулятор 11 FDK Ni-MH HR-4/3AU 13,2V 4000mAh Производство: Япония. Ввоз: Литва;draft-a91f29c5d7505169
КА-00002606;Аккумулятор NI-CD 10*4/5SC 1200mAh 10C, страна ввоза: Китай. Производство: Китай.;draft-0c6798bc37942aaf
КА-00002607;Аккумуляторная батарея Delta HRL1218X 12В 18Ач  Страна ввоза: РФ. Страна изг.: Вьетнам;draft-f8155bd5cd37527c
КА-00002608;"Элемент питания 4178 101 401 VARTA V386 bl.1; Страна происхождения - ШВЕЙЦАРИЯ";draft-d105089f11c4f142
КА-00002610;Разборка, заполнение аккумуляторных батарей Li-ion к радиостанциям Tait TP9400 компаундом, компаунд,;draft-a8d9d74939e5b758
КА-00002611;Аккумулятор литивевый 22,2V 60ah /Китай/;draft-e46a7c3289f3edae
КА-00002612;Эл. Питания литиевый Sunmoon ER17335AX /Китай/;draft-0f5af3710a00862f
КА-00002613;Эл. Питания литиевый Sunmoon ER17335-6471 /Китай/;draft-dcdae5835165ee02
КА-00002614;CR14250H/2PF FANSO БАТАРЕЯ ЛИТИЕВАЯ-ДИОКСИД МАРГАНЦЕВАЯ / Китай;draft-e89eb4156866782e
КА-00002615;2* 553443 800MAH литий-полимерный аккумулятор. Страна ввоза: Литва. Производство: Китай;draft-bf490fa70e1006f3
КА-00002616;Эл. Питания литиевый Forte ER14250 2PF Пр-во: Китай;draft-7674b045ec78820a
КА-00002617;Батарея щелочная Mirex LR20 / D 1,5V 2 шт (2/12/96), shrink;draft-acc2cd31356a8166
КА-00002618;"Элемент питания 6205 301 401 VARTA CR123 A Photo BL.1; Страна происхождения - КИТАЙ";draft-9434738461ae68bd
КА-00002619;Батарейка GoPower G3/LR736/LR41/392A/192 BL10 Alkaline 1.5V - страна происхождения - Китай;draft-390e3fadefed9445
КА-00002620;Аккумулятор 2*103450 7,4V 2200mah Moli;draft-b4da03fbc0ecc13b
КА-00002621;Аккумулятор Ni-mh AA 1,2V 2500mah  с лепестками Ввоз: Литва, производство Китай;draft-d3113d8c6df4e553
КА-00002622;Аккумуляторная батарея Delta HRL 12-18 X, T6IU3C8 /Китай/;draft-b5f000af3c8257b8
КА-00002623;Аккумуляторная батарея DT 12012 Delta, U1EA7M5 /Китай/;draft-56433c86dfc40b28
КА-00002624;Аккумуляторная батарея DTM 1207 Delta, YMAY5PT /Китай/;draft-828b0e5e760d9115
КА-00002625;Аккумуляторная батарея DTM 1233 L Delta, XLCSQTA /Вьетнам/;draft-624d72b52ee6f317
КА-00002626;Аккумуляторная батарея DTM 12022 Delta, 573TSRQ /Китай/;draft-46c28a1f2a92a395
КА-00002627;Аккумулятор литиевый 4ICP103450DA(п) Moli 7,4V 4400mah /Китай/;draft-bdca724a20674c53
КА-00002628;Аккумулятор литиевый Zebra  3,6V 3150mah /Китай/;draft-c04d8317d555f449
КА-00002629;Клей для оргстекла ДХЭ (30мл), Химия страна происхождения - РОССИЯ;draft-2ea9827a9c1490d5
КА-00002630;ЛТИ-120 (0.5л), Флюс страна происхождения - РОССИЯ;draft-a8b29a7ae519ce71
КА-00002631;Флюс для пайки аллюминия (25мл.) (180-10) страна происхождения - РОССИЯ;draft-ff27ff2301da8566
КА-00002632;Корпус пластиковый белый;draft-ba36704e6c3c23a8
КА-00002633;Разъем питания 220в AC-002 (black) / вилка на корпус с выключателем, Китай;draft-e156c944ecba2bfc
КА-00002634;DC-DC преобразователь SD-150В/24 / 24В, 150Вт, Ubx 19-36VDC понижающе-повыщающий, Россия;draft-c0b94d6b4a3da9c1
КА-00002635;Аккумулятор 2Samsung ICR18650JM 2600mAh 7,4V (TOPCON BT-60Q) Производство: Китай.;draft-f1ff79e21d7523f6
КА-00002636;Пастила ванил.с мармеладом(вишня)0,25;draft-acfa85d5473cd9bf
КА-00002637;Груша Конференция 1кг;draft-8c1e7cce8f11d136
КА-00002638;Яблоко РБ (65+) 1кг;draft-e939a4d7b26e6ec5
КА-00002639;"Пакеты д/мус.""BIGBONUSEV""(син.,60л/20шт)";draft-2f0bc282f1731d3b
КА-00002640;"Печенье злак.на фрукт.""ХЛЕБНЫЙ СПАС""180";draft-e72f682159918a88
КА-00002641;"Вафельные труб.""ТРУБОЧКИН""(шок.нач.)170г";draft-983f38ac5ff6016b
КА-00002642;"Печенье ""ОВСЯНОЕ"" Слуцк 400 г";draft-ced219b46cc1d046
КА-00002643;"Печенье""ЧАЙНЫЙ СЛОДЫЧ ЛЮКС"" 500г";draft-e7de7905c8f813e2
КА-00002644;"Карамель ""ЛЕДЕНЦОВОЕ АССОРТ С СОКОМ""1 кг";draft-cbaa6b9d4e9ec4ee
КА-00002645;"Конфеты вес.""БЕРЕЗКА"" Коммунарка 1кг";draft-46c14709c1ffb383
КА-00002646;батарея CR2477 NRH-LF страна происхождения - Швейцария;draft-206281d5e2a2ce54
КА-00002647;Аккумулятор SUNER Ni-mh 10*SC 3000mah 10С (flat top) Производство: Китай. Ввоз: Литва;draft-497062479f1bd1c0
КА-00002648;Трофи LR14;draft-1ad90a3cb31ea3cc
КА-00002649;Аккумуляторная батарея DTM 1209 Delta, 2AUQQZK /Китай/;draft-eb0ae21e0c90ceab
КА-00002650;Аккумуляторная батарея DT 612 Delta, EXDAW61 /Китай/;draft-e23d27036c88708f
КА-00002651;"Элемент питания Renata,CR2450N-JST-2- КП10(GT11-50BAT); Страна происхождения - ШВЕЙЦАРИЯ";draft-c58ddd1429834b86
КА-00002652;Элемент питания Трофи LR14-2BL NEW;draft-cf8de2f618160340
КА-00002653;"Элемент питания  Renata, CR2477N SC ; Страна происхождения - ШВЕЙЦАРИЯ";draft-5062525a111b0e3e
КА-00002654;Аккумулятор литиевый 4SAMSUNG INR18650-25R 14,4B 2500mah 20A;draft-60867a93e408b991
КА-00002655;Зарядное устройство Li-4 Plus, Стр.происх.:Китай;draft-6e63f8bcfc2b2173
КА-00002656;Аккумулятор 2ROBITON 600MHAA-2,4V , стр.происх.:Китай;draft-85ae11df5e60b0fe
КА-00002657;Аккумулятор 2Ni-mh 2/3AA 2,4V 800mAh /Китай/;draft-aae35e1b777e74f7
КА-00002658;Аккумулятор Ni-MH Mirex HR6 / AA 1400mAh 1,2V 4 шт (4/40/200),;draft-e53bcad2f72dd931
КА-00002659;Аккумулятор бытовой GoPower HR6 AA BL2 NI-MH 1800mAh (2/20/240);draft-c7bcd2b94ae5234a
КА-00002660;Аккумуляторная батарея Delta HR 12-26  (12V 26Ah);draft-bfb16e0d70f5c585
КА-00002661;Аккумуляторная батарея Delta  DTM 1265L;draft-a7de34ebb30e53a3
КА-00002662;Аккумулятор 2*103450 7,4V 2200 mAh Moli (с компаудом) (HYT BL1703-Ex);draft-45cf5894817dccdd
КА-00002663;Аккумулятор 2*103450 7,4V 2200 mAh Moli (с компаудом) (Motorola);draft-e2c3b17dfb333d15
КА-00002664;Пленка PVC, 45 ММ, сантиметры;draft-569a81013ec337b2
КА-00002665;Аккумулятор Ventura GPL 12-22,ВЬЕТНАМ;draft-76330508269430de
