external_id;name;slug
КА-00004606;Аккумулятор (батарея) AS10D31для ноутбука Acer Aspire 5741 4741, 10.8В, 5200мАч, черный (OEM);draft-208b0fb3c29b23a8
КА-00004607;Батарейка литиевая 2СR14505 JAE-LRS (BR-AGCF2W) 6V/Китай;draft-38f05195468e0fc5
КА-00004608;Плата BMS Daly LifePO4 8S40A 24V 40A;draft-1029dd32948fa932
КА-00004609;Панель оператора 6AV6 643-0CD01-1AX1/Китай/;draft-960e69db92c24cb7
КА-00004610;Панель оператора 6AV6642-0AA11-0AX1/Китай/;draft-6885cda7c44b58bb
КА-00004611;"Элемент питания KODAK Ultra Lithium CR1025 Bl.2 (30417724); Страна происхождения - КИТАЙ";draft-077c4d751747f539
КА-00004612;GTO2940-12PR *, конденсатор 5191-45493-05-00 12мкФ 2940В;draft-541c94dda64a8779
КА-00004613;RENATA CR2477NFH-LF /Китай/;draft-816f7535b1b50153
КА-00004614;Модуль EC200AEUHA-N06-SNASA /Китай/;draft-8987b213f2f0efee
КА-00004615;Аккумуляторная батарея для ноутбука Lenovo IdeaPad Y480,V480 (L11S6F01) 48Wh черная;draft-db7da6a638fad524
КА-00004616;Аккумуляторная батарея для ноутбука Acer Aspire 5741 4741 серий 10.8-11.1V 4400mAh черная;draft-9b8de7a1aa37fd9c
КА-00004617;Аккумулятор 2*EVE ICR 18650/26 V 3,7V 2600mAh ЗС /Китай/;draft-0cd4b8755c0dfe5b
КА-00004618;Аккумулятор EVE ICR 18650/26 V 3,7V 2600mAh ЗС /Китай/;draft-40c3d90efdff109c
КА-00004619;Аккумулятор литий-полимерный 2х603850 3,7V 5000mah /Китай/;draft-d0f0fa99ebd5e7a4
КА-00004620;"Элемент питания KODAK Max Lithium CR1025 Bl.2 (30417724); Страна происхождения - КИТАЙ";draft-e1008dfe1373297f
КА-00004621;КПТ-8 (20гр), Паста теплопроводящая, шприц\CONNECTOR;draft-f163c781615e262d
КА-00004622;Аккумулятор SAMSUNG 2ICR18650-26JM 7,4V 2600mAh Li-ion Производство: Китай.;draft-840e2a639d19952d
КА-00004623;Аккумулятор для Motorola DP4000, XPR3000 (NNTN8129)2300mah 7,4V Li-ion (Impres);draft-95d9155ac3c21891
КА-00004624;Элемент питания ER34615M-LD;draft-35c4e53c430beb7d
КА-00004625;"Халат ""Техник"" мужской темно-синий с красным р. 96-100/170-176";draft-1ab19eefc8d32c06
КА-00004626;"Кепка-""бейсболка"" синяя";draft-79f5ebff18e869ad
КА-00004627;Рукавицы х/б с брезентовым наладон.;draft-37b01fb07ce10754
КА-00004628;Перчатки КЩС тип 2, р.8 (Китай);draft-8cee24d2ecbcd586
КА-00004629;Перчатки КЩС тип 2, р.9 (Китай);draft-97f1e5cc5228620b
