product_external_id,reason
КА-00003818,duplicate_model_elx_pa01p_c02_keep_ka_00004724
КА-00004642,duplicate_model_elx_pa01p_c02_keep_ka_00004724
КА-00005852,duplicate_model_elx_pa01p_c01_keep_ka_00005970
