Bitrix ID,Название сайта,Бренд
1464,"Аккумулятор MNB MM 120-12 (AGM, 120Ah)",4656
1465,"Аккумулятор MNB MNG 120-12 для ИБП (GEL, 120Ah)",4656
1470,"Аккумулятор MNB MR 125-12FT (AGM, 125Ah)",4656
1472,"Аккумулятор Casil CA 12120 (AGM, 12Ah)",4618
1473,"Аккумулятор Casil CA 6120 (AGM, 12Ah)",4618
1478,"Аккумулятор Delta DTM 612 (AGM, 12Ah)",4622
1483,"Аккумулятор Fiamm 12FGH50 (AGM, 12Ah)",4634
1484,"Аккумулятор Fiamm 12FGHL48 (AGM, 12Ah)",4634
1485,"Аккумулятор Fiamm FG11201 (AGM, 12Ah)",4634
1486,"Аккумулятор Fiamm FG11202 (AGM, 12Ah)",4634
1487,"Аккумулятор Fiamm FG21201 (AGM, 12Ah)",4634
1490,"Аккумулятор MNB MS 12-6 F1 (AGM, 12Ah)",4656
1491,"Аккумулятор Robiton VRLA12-12 (AGM, 12Ah)",4670
1492,"Аккумулятор Robiton VRLA6-12 (12Ah, 6V)",4670
1494,"Аккумулятор Fiamm 12FIT130 (AGM, 130Ah)",4634
1495,"Аккумулятор Fiamm 12FGL120 (AGM, 120Ah, 12V)",4634
1497,"Аккумулятор MNB MNG 135-12 для ИБП (GEL, 135Ah)",4656
1500,"Аккумулятор MNB MM 140-12 (AGM, 140Ah)",4656
1501,"Аккумулятор Ventura HRL 12580W (AGM, 140Ah)",4687
1502,"Аккумулятор Delta CT 1214 (AGM, 14Ah)",4622
1503,"Аккумулятор Delta DT 12150 (AGM, 150Ah)",
1508,"Аккумулятор Fiamm 12FIT150 (AGM, 150Ah)",4634
1509,"Аккумулятор Fiamm 12FLB540 P (AGM, 150Ah)",4634
1510,"Аккумулятор Fiamm 12FGL150 (AGM, 150Ah)",4634
1512,"Аккумулятор Fiamm FG2F009 (AGM, 150Ah)",4634
1513,"Аккумулятор MNB MM 150-12 (AGM, 150Ah)",4656
1514,"Аккумулятор MNB MNG 150-12 для ИБП (GEL, 150Ah)",4656
1517,"Аккумулятор Ventura HRL 12600W (AGM, 150Ah)",4687
1518,"Аккумулятор MNB MR 155-12FT (AGM, 155Ah)",4656
1519,"Аккумулятор B.B. Battery HR 15-12 (AGM, 15Ah)",4613
1521,"Аккумулятор Fiamm 6SLA160 (AGM, 160Ah)",4634
1523,"Аккумулятор Delta CT 1216 (AGM, 16Ah)",4622
1524,"Аккумулятор Fiamm 12FGL70 (AGM, 70Ah)",4634
1525,"Аккумулятор Ventura HRL 12680W (AGM, 170Ah)",4687
1528,"Аккумулятор Fiamm FG21703 (AGM, 17Ah)",4634
1533,"Аккумулятор Fiamm 6SLA180 (AGM, 180Ah)",4634
1534,"Аккумулятор MNB MR 180-12FT (AGM, 180Ah)",4656
1536,"Аккумулятор Casil CA 12180 (AGM, 18Ah)",4618
1541,"Аккумулятор Fiamm 12FGH65 (AGM, 18Ah)",4634
1544,"Аккумулятор Robiton VRLA12-18 (AGM, 18Ah)",4670
1546,"Аккумулятор Fiamm FG20201 (AGM, 2Ah)",4634
1550,"Аккумулятор Delta DT 6023 (AGM, 2.3Ah)",4622
1553,"Аккумулятор Delta CT 12025 (AGM, 2.5Ah)",4622
1554,"Аккумулятор Delta CT 12026 (AGM, 2.5Ah)",4622
1555,"Аккумулятор Casil CA 628 (AGM, 2.8Ah)",4618
1558,"Аккумулятор Delta DT 12200 (AGM, 200Ah)",
1561,"Аккумулятор MNB MM 200-12 (AGM, 200Ah)",4656
