Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
1415,"Аккумулятор Ventura GP 12-1.3 (AGM, 1.3Ah)",,КА-00002695,Р3.2.52.73.,"Аккумулятор Ventura GP 12-1.3, ВЬЕТНАМ",VENTURAGP121,yes,0.95,sig+brand,КА-00002695,agree
1416,"Аккумулятор Ventura GP 6-1.3 (AGM, 1.3Ah)",4687,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP6,no,0.6,sig+generic,,new
1417,"Аккумулятор Delta DT 6015 (AGM, 1.5Ah)",,ФР-00000029,0001\А3,"Аккумуляторная батарея Delta DT 6015 6В, 1,5Ач Страна ввоза: РФ, Страна изготовитель: Гонконг.",DELTADT6015,yes,0.95,sig+brand,КА-00002041,differ
1419,"Аккумулятор Delta DT 12100 (AGM, 100Ah)",,ФР-00000106,,Аккумуляторная батарея Delta DT 12100 12В 100Ач,DELTADT12100,yes,0.95,sig+brand,ФР-00000106,agree
1420,"Аккумулятор Delta DTM 12100 L (AGM, 100Ah)",,КА-00002549,,"Аккумуляторная батарея Delta DTM 12100 L, страна происхождения товара Вьетнам, страна ввоза Россия",DELTADTM12100L,yes,0.95,sig+brand,КА-00003843,differ
1421,"Аккумулятор Delta FTS 12-100X (AGM, 100Ah)",,КА-00006757,,Аккумуляторная батарея Delta FTS 12-100 X /Китай/,FTS12100X,yes,0.95,sig+brand,КА-00005119,differ
1422,"Аккумулятор Delta HRL 12-100 (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1423,"Аккумулятор Delta HRL 12-470W (AGM, 100Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1429,"Аккумулятор Fiamm 12FGL100 (AGM, 100Ah)",4634,КА-00007132,,Аккумулятор свинцово-кислотный Fiamm12FGL100 12V100AH /Китай/,FIAMM12FGL100,no,0.95,sig,КА-00007132,agree
1430,"Аккумулятор Fiamm 6SLA100 (AGM, 100Ah)",,КА-00004114,,Аккумулятор Fiamm 6SLA100 /Китай/,FIAMM6SLA100,yes,0.95,sig+brand,КА-00004114,agree
1436,"Аккумулятор Ventura FT 12-100 для ИБП (GEL, 100Ah)",,КА-00002967,,"Аккумулятор Ventura FT 12-100, Китай",VENTURAFT12100,yes,0.6,sig+brand+generic,КА-00002967,agree
1437,"Аккумулятор Ventura GP 12-100 (AGM, 100Ah)",,КА-00001751,,"Аккумулятор Ventura GP 12-12 (12V12Ah),ВЬЕТНАМ",VENTURAGP12,yes,0.6,sig+brand+generic,КА-00000318,differ
1438,"Аккумулятор Ventura GPL 12-100 (AGM, 100Ah)",,КА-00001368,,"Аккумулятор Ventura GPL 12-100 (12-100Ah), ВЬЕТНАМ",VENTURAGPL12100,yes,0.95,sig+brand,КА-00000023,differ
1439,"Аккумулятор Ventura VG 12-100 для ИБП (GEL, 100Ah)",,КА-00005514,,Аккумулятор Ventura VG 12-100 /Китай/,VENTURAVG12100,yes,0.95,sig+brand,КА-00005514,agree
1440,"Аккумулятор Delta FTS 12-105 (AGM, 105Ah)",,КА-00005743,,Аккумуляторная батарея Delta FTS 12-105 X /Китай/,DELTAFTS12105,yes,0.95,sig+brand,КА-00005743,agree
1442,"Аккумулятор Delta CT 1210 (AGM, 10Ah)",,КА-00004144,,Аккумуляторная батарея Delta CT 1210.1,DELTACT1210,yes,0.95,sig+brand,КА-00004144,agree
1443,"Аккумулятор Ventura HR 1251W (AGM, 10Ah)",4687,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new
1446,"Аккумулятор Delta CT 1210.1 (AGM, 10Ah)",,КА-00004144,,Аккумуляторная батарея Delta CT 1210.1,DELTACT12101,yes,0.95,sig+brand,КА-00004144,agree
1453,"Аккумулятор Delta CT 1205.1 (AGM, 5Ah)",4622,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",AGM5AH,no,0.85,sig,,new
1454,"Аккумулятор Delta CT 1207.1 (AGM, 7Ah)",,ФР-00000859,,CT 1207 Delta Аккумуляторная батарея,CT1207,yes,0.95,sig+brand,ФР-00000859,agree
1455,"Аккумулятор Delta CT 1207.2 (AGM, 7Ah)",,ФР-00000859,,CT 1207 Delta Аккумуляторная батарея,CT1207,yes,0.95,sig+brand,ФР-00000859,agree
1457,"Аккумулятор Ventura GP 6-12 (AGM, 12Ah)",,КА-00003397,,Аккумуляторная батарея Ventura GP6-12/Китай,VENTURAGP612,yes,0.95,sig+brand,КА-00003397,agree
1459,"Аккумулятор Delta DTM 12120 L (AGM, 120Ah)",,КА-00003648,,"Аккумуляторная батарея DTM 12120 l Delta, DUASI4X /Китай/",DTM12120L,yes,0.6,sig+brand+generic,КА-00000260,differ
1460,"Аккумулятор Delta HRL 12-560W (AGM, 120Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1466,"Аккумулятор Ventura GPL 12-120 (AGM, 120Ah)",,КА-00003294,,Аккумуляторная батарея Ventura GPL 12-120,VENTURAGPL12120,yes,0.95,sig+brand,КА-00003294,agree
1467,"Аккумулятор Ventura GPL 12-120 для ИБП (GEL, 120Ah)",,КА-00003294,,Аккумуляторная батарея Ventura GPL 12-120,VENTURAGPL12120,yes,0.95,sig+brand,КА-00003294,agree
1468,"Аккумулятор Delta FTS 12-125 (AGM, 125Ah)",,КА-00005119,,Аккумуляторная батарея DELTA FTS 12-180 (12A/180Аh),DELTAFTS12,yes,0.6,sig+brand+generic,КА-00005119,agree
1469,"Аккумулятор Fiamm 6SLA125 (AGM, 125Ah)",,КА-00003889,,Аккумулятор свинцовый Fiamm 6SLA125/ Китай,FIAMM6SLA125,yes,0.95,sig+brand,КА-00003889,agree
1471,"Аккумулятор Ventura FT 12-125 для ИБП (GEL, 125Ah)",,КА-00001864,,"Аккумулятор Ventura  FT12-50 (12V50Ah),Китай",VENTURAFT12,yes,0.6,sig+brand+generic,КА-00001864,agree
1474,"Аккумулятор Delta CT 1212 (AGM, 12Ah)",4622,КА-00003669,,"Аккумулятор Ventura GP 12-12/AGM, ВЬЕТНАМ",1212AGM,no,0.85,sig,,new
1475,"Аккумулятор Delta DT 1212 (AGM, 12Ah)",,ФР-00000243,DT1212,Аккумуляторная батарея Delta DT1212 12В 12Ач  Страна ввоза: РФ,DELTADT1212,yes,0.95,sig+brand,ФР-00000243,agree
1476,"Аккумулятор Delta DT 612 (AGM, 12Ah)",,ФР-00000233,DT612,"Аккумуляторная батарея Delta DT 612 6В, 12Ач Страна ввоза: РФ.",DELTADT612,yes,0.95,sig+brand,ФР-00000233,agree
1477,"Аккумулятор Delta DTM 1212 (AGM, 12Ah)",,КА-00002536,О2.3.52.29.,"Аккумуляторная батарея DTM 1212 Delta, RBNSECZ /Китай/",DTM1212,yes,0.6,sig+brand+generic,КА-00002536,agree
1479,"Аккумулятор Delta HR 12-12 (AGM, 12Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR1212,yes,0.95,sig+brand,КА-00001615,agree
1480,"Аккумулятор Delta HR 12-51W (AGM, 12Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00000258,differ
1481,"Аккумулятор Delta HR 6-12 (AGM, 12Ah)",,КА-00001895,,"Аккумуляторная батарея Delta HR 6-12 6В, 12Ач Страна ввоза: РФ.",DELTAHR612,yes,0.95,sig+brand,КА-00001895,agree
1482,"Аккумулятор Delta HRL 12-12 (AGM, 12Ah)",,КА-00001251,,Аккумуляторная батарея Delta HRL 12-12 X /Вьетнам/,DELTAHRL1212,yes,0.6,sig+brand+generic,КА-00000259,differ
1488,"Аккумулятор Fiamm FG21202 (AGM, 12Ah)",,ФР-00001439,,Аккумуляторная батарея FIAMM FG21202 12V/12Ah,FIAMMFG21202,yes,0.95,sig+brand,ФР-00001439,agree
1489,"Аккумулятор MNB MS 12-12 F2 (AGM, 12Ah)",,ФР-00002278,,"Аккумулятор MHB MS 12-12, страна происхождения-Китай",MS1212,no,0.85,sig,ФР-00002278,agree
1493,"Аккумулятор Ventura GP 12-12 (AGM, 12Ah)",,КА-00003669,,"Аккумулятор Ventura GP 12-12/AGM, ВЬЕТНАМ",GP1212AGM,yes,0.95,sig+brand,КА-00001751,differ
1496,"Аккумулятор Delta HRL 12-600W (AGM, 134Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1498,"Аккумулятор Delta FTS 12-140 (AGM, 140Ah)",,КА-00005119,,Аккумуляторная батарея DELTA FTS 12-180 (12A/180Аh),DELTAFTS12,yes,0.6,sig+brand+generic,КА-00005119,agree
1499,"Аккумулятор Delta HRL 12-140 (AGM, 140Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12140,yes,0.95,sig+brand,КА-00000423,agree
1504,"Аккумулятор Delta DTM 12150 L (AGM, 150Ah)",,ФР-00002021,,"Аккумуляторная батарея Delta DTM 12150L 12В 150Ач, изг.Вьетнам, страна ввоза Россия",DELTADTM12150L,yes,0.95,sig+brand,ФР-00002021,agree
1505,"Аккумулятор Delta FTS 12-150 (AGM, 150Ah)",,КА-00007126,,Аккумуляторная батарея Delta FTS 12-150 X,DELTAFTS12150,yes,0.95,sig+brand,КА-00007126,agree
1506,"Аккумулятор Delta HRL 12-650W (AGM, 150Ah)",,КА-00004972,,Аккумулятор Ventura HRL 12650W,HRL12650W,yes,0.95,sig+brand,КА-00000259,differ
1511,"Аккумулятор Fiamm 4SLA150 (AGM, 150Ah)",,КА-00003136,,Аккумуляторная батарея  4SLA150 4V/150Ah,4SLA150,yes,0.95,sig+brand,КА-00003136,agree
1515,"Аккумулятор Ventura FT 12-150 для ИБП (GEL, 150Ah)",,КА-00005572,,Аккумулятор Ventura FT 12-150 (12V 150Ah)/Китай,VENTURAFT12150,yes,0.95,sig+brand,КА-00005572,agree
1516,"Аккумулятор Ventura GPL 12-150 (AGM, 150Ah)",,КА-00003228,,Аккумуляторная батарея Ventura gpl 12-150/Китай,VENTURAGPL12150,yes,0.95,sig+brand,КА-00003228,agree
1520,"Аккумулятор Delta DTM 1215 (AGM, 15Ah)",,КА-00001967,,Аккумулятор Delta DTM 1215,DELTADTM1215,yes,0.95,sig+brand,КА-00001967,agree
1522,"Аккумулятор Ventura HRL 12650W (AGM, 160Ah)",,КА-00004972,,Аккумулятор Ventura HRL 12650W,VENTURAHRL12650W,yes,0.95,sig+brand,КА-00004972,agree
1526,"Аккумулятор B.B. Battery BC 17-12 (AGM, 17Ah)",,КА-00001380,О2.3.52.18.,"Аккумулятор BB battery BC 17-12 B1 (12V/17Ah),КИТАЙ",BATTERYBC1712,yes,0.95,sig+brand,КА-00001380,agree
1527,"Аккумулятор Delta DTM 1217 (AGM, 17Ah)",,ФР-00001089,,Аккумуляторная батарея Delta DTM1217 12В 17Ач Пр-во: Гонконг. Ввоз: РФ.,DELTADTM1217,yes,0.95,sig+brand,КА-00001792,differ
1529,"Аккумулятор MNB MS 17-12 B1 (AGM, 17Ah)",4656,КА-00001380,О2.3.52.18.,"Аккумулятор BB battery BC 17-12 B1 (12V/17Ah),КИТАЙ",1712B1,no,0.6,sig+generic,,new
1530,"Аккумулятор Delta FT 12-180 (AGM, 180Ah)",,КА-00001863,,Аккумуляторная батарея Delta FT 12-50 M,DELTAFT12,yes,0.6,sig+brand+generic,КА-00001614,differ
1531,"Аккумулятор Delta HRL 12-180 (AGM, 180Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1532,"Аккумулятор Fiamm 12FIT180 (AGM, 180Ah)",,КА-00004091,,Аккумулятор Fiamm 12FIT180 /Китай/,FIAMM12FIT180,yes,0.95,sig+brand,КА-00004091,agree
1535,"Аккумулятор Ventura FT 12-180 для ИБП (GEL, 180Ah)",,КА-00001864,,"Аккумулятор Ventura  FT12-50 (12V50Ah),Китай",VENTURAFT12,yes,0.6,sig+brand+generic,КА-00001864,agree
1537,"Аккумулятор Delta CT 1218 (AGM, 18Ah)",4622,КА-00000141,,Аккумуляторная батарея GP 12-18 AGM/CONTACT /Вьетнам/,1218AGM,no,0.85,sig,,new
1538,"Аккумулятор Delta DT 1218 (AGM, 18Ah)",,КА-00001343,П1.1.52.29.,"Аккумуляторная батарея Delta DT1218 Delta,ACQ21FG /Китай/",DELTADT1218,yes,0.6,sig+brand+generic,ФР-00000042,differ
1539,"Аккумулятор Delta HR 12-18 (AGM, 18Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00000341,differ
1540,"Аккумулятор Delta HRL 12-18 (AGM, 18Ah)",,КА-00002622,Р3.1.52.29.,"Аккумуляторная батарея Delta HRL 12-18 X, T6IU3C8 /Китай/",DELTAHRL1218,yes,0.6,sig+brand+generic,КА-00002622,agree
1542,"Аккумулятор Fiamm FG21803 (AGM, 18Ah)",,ФР-00001513,,Аккумуляторная батарея FIAMM FG21803 12V/18Ah,FIAMMFG21803,yes,0.95,sig+brand,ФР-00001513,agree
1543,"Аккумулятор Minamoto MB12180 (12V, 18Ah)",4655,КА-00001363,О4.1.52.73.,"Аккумуляторная батарея Ventura GPL 12-18 (12V/18Ah), ВЬЕТНАМ",12V18AH,no,0.6,sig+generic,,new
1545,"Аккумулятор Ventura GP 12-18 (AGM, 18Ah)",,КА-00003579,,"Аккумулятор Ventura GPL 12-18/AGM, ВЬЕТНАМ",1218AGM,yes,0.95,sig+brand,КА-00000318,differ
1547,"Аккумулятор Casil CA 1222 (AGM, 2.2Ah)",4618,КА-00005066,,"Аккумулятор Ventura GPL 12-22/AGM, ВЬЕТНАМ",1222AGM,no,0.85,sig,,new
1548,"Аккумулятор Delta DT 12022 (AGM, 2.2Ah)",,ФР-00000050,О1.1.52.29.,"Аккумуляторная батарея Delta DT12022 12В 2,2Ач Пр-во: Гонконг. Ввоз: РФ.",DELTADT12022,yes,0.95,sig+brand,КА-00001151,differ
1549,"Аккумулятор Delta DTM 12022 (AGM, 2.2Ah)",,ФР-00000748,,"Аккумуляторная батарея Delta DTM12022 12В 2,2Ач Пр-во: Гонконг. Ввоз: РФ.",DELTADTM12022,yes,0.95,sig+brand,КА-00002626,differ
1551,"Аккумулятор MNB MS 2.3-12 F1 (AGM, 2.3Ah)",,КА-00003312,О1.3.,"Аккумулятор MHB MS 2.3-12, Китай",MS2312,no,0.85,sig,КА-00003312,agree
1556,"Аккумулятор Delta DT 6028 (AGM, 2.8Ah)",,КА-00001147,,Аккумуляторная батарея Delta DT 6028 Delta 06S5125 /Китай/,DELTADT6028,yes,0.95,sig+brand,КА-00001147,agree
1557,"Аккумулятор Ventura GP 6-2.8 (AGM, 2.8Ah)",4687,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP6,no,0.6,sig+generic,,new
1559,"Аккумулятор Delta DTM 12200 L (AGM, 200Ah)",,КА-00001964,,"Аккумуляторная батарея Delta DTM 12200 L (12V,200A)/ Китай",DELTADTM12200L,yes,0.95,sig+brand,КА-00001964,agree
1560,"Аккумулятор Delta HRL 12-890W (AGM, 200Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ
1563,"Аккумулятор Ventura GPL 12-200 (AGM, 200Ah)",,КА-00003696,,"Аккумуляторная батарея Ventura GPL 12-200, ВЬЕТНАМ",VENTURAGPL12200,yes,0.95,sig+brand,КА-00003696,agree
1564,"Аккумулятор Ventura VG 12-200 для ИБП (GEL, 200Ah)",,КА-00004855,,аккумулятор Ventura VG 12-200,VENTURAVG12200,yes,0.95,sig+brand,КА-00004855,agree
1568,"Аккумулятор Ventura HR 1290W (AGM, 21Ah)",,КА-00005320,,"Аккумулятор Ventura HR 1290W (AGM, 21Ah)/ Китай",VENTURAHR1290WAGM,yes,0.95,sig+brand,КА-00005320,agree
1575,"Аккумулятор Ventura GPL 12-250 (AGM, 250Ah)",,КА-00001362,О4.3.52.73.,"Аккумуляторная батарея Ventura GPL 12-7.2 (12V 7,2Ah) ВЬЕТНАМ",VENTURAGPL12,yes,0.6,sig+brand+generic,КА-00000023,differ
1577,"Аккумулятор Ventura GP 12-26 (AGM, 26Ah)",,КА-00001751,,"Аккумулятор Ventura GP 12-12 (12V12Ah),ВЬЕТНАМ",VENTURAGP12,yes,0.6,sig+brand+generic,КА-00000318,differ
1578,"Аккумулятор Ventura GPL 12-26 (AGM, 26Ah)",,КА-00002167,Р3.1.52.73,"Аккумулятор Ventura GPL 12-26 (12V/26Ah), ВЬЕТНАМ",VENTURAGPL1226,yes,0.95,sig+brand,КА-00000321,differ
1581,"Аккумулятор Ventura HRL 12155W (AGM, 28Ah)",,КА-00005523,,Аккумулятор Ventura HRL12155W/Китай,VENTURAHRL12155W,yes,0.95,sig+brand,КА-00005523,agree
1590,"Аккумулятор B.B. Battery HR 33-12 (AGM, 33Ah)",,КА-00003582,,Аккумулятор Bb battery HR 33-12/Китай,BATTERYHR3312,yes,0.95,sig+brand,КА-00003582,agree
1592,"Аккумулятор Ventura GPL 12-33 (AGM, 33Ah)",,КА-00001362,О4.3.52.73.,"Аккумуляторная батарея Ventura GPL 12-7.2 (12V 7,2Ah) ВЬЕТНАМ",VENTURAGPL12,yes,0.6,sig+brand+generic,КА-00000023,differ
1593,"Аккумулятор B.B. Battery BPS 40-12 (AGM, 40Ah)",,КА-00003244,,"Аккумулятор BPS 40-12 I2 (BB Battery), КИТАЙ",BPS4012,no,0.85,sig,КА-00003244,agree
1598,"Аккумулятор Panasonic UP-VW1220P1 (AGM, 4Ah)",,КА-00003724,,Аккумулятор свинцовый UP-VW1220P1 12V 4Ah /Китай/,UPVW1220P1,yes,0.95,sig+brand,КА-00005218,differ
1600,"Аккумулятор Casil CA 1245 (AGM, 4.5Ah)",4618,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",1245AGM45AH,no,0.95,sig,КА-00003890,agree
1601,"Аккумулятор Casil CA 645 (AGM, 4.5Ah)",4618,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",AGM45AH,no,0.85,sig,КА-00003890,agree
1602,"Аккумулятор Panasonic LC-R064R5P (AGM, 4.5Ah)",4664,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",AGM45AH,no,0.85,sig,КА-00003890,agree
1604,"Аккумулятор Robiton VRLA12-4.5 (AGM, 4.5Ah)",4670,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",AGM45AH,no,0.85,sig,КА-00003890,agree
1605,"Аккумулятор Robiton VRLA6-4.5 (AGM, 4.5Ah)",4670,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",AGM45AH,no,0.85,sig,КА-00003890,agree
1606,"Аккумулятор Ventura GP 12-4.5 (AGM, 4.5Ah)",,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",1245AGM,yes,0.95,sig+brand,КА-00000318,differ
1607,"Аккумулятор Ventura GP 6-4.5 (AGM, 4.5Ah)",,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP64,yes,0.95,sig+brand,КА-00002376,agree
1609,"Аккумулятор Ventura GP 12-40 (AGM, 40Ah)",,КА-00001751,,"Аккумулятор Ventura GP 12-12 (12V12Ah),ВЬЕТНАМ",VENTURAGP12,yes,0.6,sig+brand+generic,КА-00000318,differ
1610,"Аккумулятор Ventura GPL 12-40 (AGM, 40Ah)",,КА-00000316,,Аккумуляторная батарея GPL 12-40 AGM/CONTACT/Вьетнам/,GPL1240AGM,yes,0.95,sig+brand,КА-00002989,differ
1611,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah)",,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",VENTURAGPL1245,yes,0.95,sig+brand,КА-00003890,agree
1614,"Аккумулятор B.B. Battery BP 5-12 (AGM, 5Ah)",,КА-00003856,,Аккумулятор Bb battery BP 5-12,BATTERYBP512,yes,0.95,sig+brand,КА-00003856,agree
1615,"Аккумулятор Ventura GP 12-5 (AGM, 5Ah)",,КА-00002597,О3.2.52.73.,"Аккумулятор Ventura GP 12-5 (12V/5Ah), ВЬЕТНАМ",VENTURAGP125,yes,0.95,sig+brand,КА-00000318,differ
1616,"Аккумулятор Ventura HR 1221W (AGM, 5Ah)",,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",AGM5AH,no,0.85,sig,КА-00006957,differ
1617,"Аккумулятор B.B. Battery HR 5.8-12 (AGM, 5.3Ah)",,КА-00004165,,"Аккумуляторная батарея BB Battery HR 5.8-12, страна ввоза Россия",BATTERYHR58,no,0.95,sig,КА-00004165,agree
1618,"Аккумулятор B.B. Battery HRC 5.5-12 (AGM, 5.5Ah)",,КА-00003846,,"Аккумулятор B.B. Battery HRC 5,5-12",BBATTERYHRC5,yes,0.95,sig+brand,КА-00002822,differ
1619,"Аккумулятор Ventura FT 12-50 для ИБП (GEL, 50Ah)",,КА-00001864,,"Аккумулятор Ventura  FT12-50 (12V50Ah),Китай",VENTURAFT1250,yes,0.95,sig+brand,КА-00001864,agree
1620,"Аккумулятор Ventura GPL 12-55 (AGM, 55Ah)",,КА-00003229,,"Аккумуляторная батарея VENTURA GPL 12-55 F6, ВЬЕТНАМ",VENTURAGPL1255,yes,0.95,sig+brand,КА-00000854,differ
1621,"Аккумулятор Ventura HR 1224W (AGM, 6Ah)",,КА-00003347,,Аккумуляторная батарея HR-1224W F2 Slim 12V/6Ah,HR1224W,no,0.6,sig+generic,КА-00003347,agree
1622,"Аккумулятор Ventura HRL 12260W (AGM, 60Ah)",,КА-00005338,,Аккумуляторная батарея HRL 12-260W (VENTURA) /Вьетнам/,HRL12260W,yes,0.95,sig+brand,КА-00005338,agree
1623,"Аккумулятор Ventura GPL 12-65 (AGM, 65Ah)",,КА-00003736,,"Аккумулятор Ventura GPL 12-65/AGM, ВЬЕТНАМ",GPL1265AGM,yes,0.95,sig+brand,КА-00002990,differ
1625,"Аккумулятор B.B. Battery BC 7.2-12 (AGM, 7.2Ah)",4613,КА-00001753,О2.3.52.18.,"Аккумулятор BB battery BC 7-12 F2 (12V/7Ah), КИТАЙ",BATTERYBC7,no,0.95,sig,,new
1628,"Аккумулятор Ventura GP 12-7.2 (AGM, 7.2Ah)",,КА-00002048,,"Аккумулятор VENTURA GP 12-7.2 (12V7.2АЧ), ВЬЕТНАМ",VENTURAGP127,yes,0.95,sig+brand,КА-00002048,agree
1629,"Аккумулятор Casil CA 675 (AGM, 7.5Ah)",,ФР-00000471,,"CASIL CA675 6V 7,5Ah Аккумулятор. Пр-во: Китай",CASILCA675,no,0.95,sig,ФР-00000471,agree
1632,"Аккумулятор Ventura GPL 12-75 (AGM, 75Ah)",,КА-00003227,,Аккумуляторная батарея Ventura GPL 12-75  /Китай,VENTURAGPL1275,yes,0.95,sig+brand,КА-00003227,agree
1633,"Аккумулятор B.B. Battery HR 9-6 (AGM, 8Ah)",,КА-00006069,,"Аккумулятор BB Battery HR 9-6 T2, Китай",BATTERYHR96,yes,0.95,sig+brand,КА-00003466,differ
1635,"Аккумулятор Ventura HR 1234W (AGM, 8Ah)",4687,КА-00005894,,"Аккумулятор EnerSys Cyclon Monobloc 0859-0010 (AGM, 8Ah, 4V) / США",AGM8AH,no,0.85,sig,,new
1639,"Аккумулятор B.B. Battery HRC 1234W (AGM, 9Ah)",,КА-00001857,,"Аккумулятор BB Battery HRC 1234W F2, КИТАЙ",BATTERYHRC1234W,yes,0.95,sig+brand,КА-00001308,differ
1640,"Аккумулятор B.B. Battery HR 9-12 (AGM, 9Ah)",4613,КА-00003466,,Аккумуляторная батарея Bb battery HR9-6,BATTERYHR9,no,0.95,sig,,new
1642,"Аккумулятор Ventura GP 12-9 (AGM, 9Ah)",,ФР-00001191,СК1209,Аккумуляторная батарея Ventura GP-12-9,VENTURAGP129,yes,0.95,sig+brand,ФР-00001191,agree
1643,"Аккумулятор Ventura GP 6-9 (AGM, 9Ah)",4687,КА-00002376,О2.1.,Аккумулятор Ventura GP 6-4.5 (6V/4.5Ah),VENTURAGP6,no,0.6,sig+generic,,new
1645,"Аккумулятор B.B. Battery BC 7-12 (AGM, 7Ah)",,КА-00001753,О2.3.52.18.,"Аккумулятор BB battery BC 7-12 F2 (12V/7Ah), КИТАЙ",BATTERYBC712,yes,0.95,sig+brand,КА-00000371,differ
1688,Аккумулятор НК- 80 (без электролита) (ЗАИТ),4705,КА-00006874,,Аккумулятор НК-80 (без электролита),АККУМУЛЯТОРНК80БЕЗ,no,0.95,sig,,new
1692,"Аккумулятор Sonnenschein A502/10 S для ИБП (GEL, 10Ah)",,ФР-00001154,,Аккумуляторная батарея Sonnenschein A502/10 S,SONNENSCHEINA50210,yes,0.95,sig+brand,ФР-00001154,agree
1696,"Аккумулятор Fiamm SMG 1200 для ИБП (GEL, 1200Ah)",4634,ФР-00001476,,Клеммник DG306-5.0- 02P-12-00A(H) с проводами Страна ввоза: Гонконг,1200AH,no,0.85,sig,,new
1715,"Аккумулятор Fiamm 2SLA2000 (AGM, 2000Ah)",4634,КА-00005467,,Аккумулятор Cameron Sino Ni-MH CS-RBS950BL 7.2V 2000Ah /Китай/,2000AH,no,0.85,sig,,new
1717,"Аккумулятор Sonnenschein Dryfit A602/2200 для ИБП (GEL, OPzV, 2200Ah)",4678,КА-00005139,,Аккумулятор Ni-Mh NNTN8129 7.4V 2200Ah/Китай,2200AH,no,0.85,sig,,new
1719,"Аккумулятор Fiamm LM/S 2200 для ИБП (OPzS, 2200Ah)",4634,КА-00005139,,Аккумулятор Ni-Mh NNTN8129 7.4V 2200Ah/Китай,2200AH,no,0.85,sig,,new
1725,"Аккумулятор Marathon L2V220 (AGM, 220Ah)",,КА-00004115,,Аккумулятор Marathon L2V220/Китай/,MARATHONL2V220,yes,0.95,sig+brand,КА-00004115,agree
1726,"Аккумулятор Marathon L 2V220 V0 (AGM, 220Ah)",,КА-00004115,,Аккумулятор Marathon L2V220/Китай/,MARATHONL2V220,yes,0.95,sig+brand,КА-00004115,agree
1796,"Аккумулятор CSB HR1221W F2 (AGM, 5Ah)",,КА-00002074,,Аккумулятор CSB HR 1221W F2 (12V/5Ah),CSBHR1221WF2,yes,0.95,sig+brand,КА-00002074,agree
1797,"Аккумулятор Ventura GP 12-2.3 (AGM, 2.3Ah)",,КА-00001752,П2.2.52.73.,"Аккумулятор Ventura GP 12-2,3 (12V/2,3Ah), ВЬЕТНАМ",VENTURAGP122,yes,0.95,sig+brand,КА-00001752,agree
