Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
25067,Источник бесперебойного питания APC Smart-UPS C 1500VA,,КА-00005636,,ИБП CyberPower UT1500EIG 1500VA/900W LED/USB/RJ11/45 (6 IEC С13) 12V/7.5Ah*2/USB charger A/C,1500VA,no,0.85,sig,КА-00005636,agree
25068,Источник бесперебойного питания APC Smart-UPS X 1500VA Rack/Tower LCD,,КА-00005636,,ИБП CyberPower UT1500EIG 1500VA/900W LED/USB/RJ11/45 (6 IEC С13) 12V/7.5Ah*2/USB charger A/C,1500VA,no,0.85,sig,КА-00005636,agree
25070,Источник бесперебойного питания APC Smart-UPS 1U 1500VA LCD,,КА-00005636,,ИБП CyberPower UT1500EIG 1500VA/900W LED/USB/RJ11/45 (6 IEC С13) 12V/7.5Ah*2/USB charger A/C,1500VA,no,0.85,sig,КА-00005636,agree
25071,Источник бесперебойного питания APC Smart-UPS C 3000VA LCD,,КА-00006872,,Источник бесперебойного питания APC Smart-UPS 3000VA (SMT3000IC) / Китай,3000VA,yes,0.95,sig+brand,КА-00006872,agree
25072,Источник бесперебойного питания APC Smart-UPS C 3000VA RM LCD,,КА-00006872,,Источник бесперебойного питания APC Smart-UPS 3000VA (SMT3000IC) / Китай,3000VA,yes,0.95,sig+brand,КА-00006872,agree
25099,Источник бесперебойного питания CyberPower Professional RM LCD 3000VA,,КА-00006872,,Источник бесперебойного питания APC Smart-UPS 3000VA (SMT3000IC) / Китай,3000VA,yes,0.95,sig+brand,КА-00006872,agree
25121,Источник бесперебойного питания IPPON Back Basic 1050,,КА-00003995,,Источник бесперебойного питания IPPON Back Basic 1050¶Euro,IPPONBACKBASIC1050,yes,0.95,sig+brand,КА-00003995,agree
25122,Источник бесперебойного питания IPPON Back Basic 1050 Euro,,КА-00003995,,Источник бесперебойного питания IPPON Back Basic 1050¶Euro,IPPONBACKBASIC1050,yes,0.95,sig+brand,КА-00003995,agree
25126,Источник бесперебойного питания IPPON Back Basic 1050 S Euro,,КА-00003995,,Источник бесперебойного питания IPPON Back Basic 1050¶Euro,IPPONBACKBASIC1050,yes,0.95,sig+brand,КА-00003995,agree
25143,Источник бесперебойного питания IPPON Innova G2 1000,,КА-00005756,,Источник бесперебойного питания IPPON Innova G2 1000,IPPONINNOVAG21000,yes,0.95,sig+brand,КА-00005756,agree
25144,Источник бесперебойного питания IPPON Innova G2 1000 Euro,,КА-00005756,,Источник бесперебойного питания IPPON Innova G2 1000,IPPONINNOVAG21000,yes,0.95,sig+brand,КА-00005756,agree
25146,Источник бесперебойного питания IPPON Innova RT 1K 1000VA,,КА-00005734,,ИБП Сайбер Электро ЭКСПЕРТ-II-1000Р 1000VA/1000W 2U/LCD/USB/RS-232/EPO/SNMPslot/RJ11/45/(8 IEC С13./,1000VA,no,0.85,sig,КА-00005734,agree
25149,Источник бесперебойного питания IPPON Innova G2 2000L,25108,КА-00005756,,Источник бесперебойного питания IPPON Innova G2 1000,IPPONINNOVAG2,no,0.95,sig,,new
25152,Источник бесперебойного питания IPPON Innova G2 2000 Euro,25108,КА-00005756,,Источник бесперебойного питания IPPON Innova G2 1000,IPPONINNOVAG2,no,0.95,sig,,new
25155,Источник бесперебойного питания IPPON Innova G2 3000 Euro,25108,КА-00005756,,Источник бесперебойного питания IPPON Innova G2 1000,IPPONINNOVAG2,no,0.95,sig,,new
25248,Источник бесперебойного питания Eaton 9SX 5000VA,,КА-00004366,,Источник бесперебойного питания IНЭЛТ серии GAMMA 5KR 5000VA (IN5000-SI),5000VA,yes,0.95,sig+brand,КА-00004366,agree
25249,Источник бесперебойного питания Eaton 9130 Rackmount 1500VA,,КА-00005636,,ИБП CyberPower UT1500EIG 1500VA/900W LED/USB/RJ11/45 (6 IEC С13) 12V/7.5Ah*2/USB charger A/C,1500VA,no,0.85,sig,КА-00005636,agree
25257,Источник бесперебойного питания Eaton 5SC 1000VA,,КА-00005734,,ИБП Сайбер Электро ЭКСПЕРТ-II-1000Р 1000VA/1000W 2U/LCD/USB/RS-232/EPO/SNMPslot/RJ11/45/(8 IEC С13./,1000VA,no,0.85,sig,КА-00005734,agree
25258,Источник бесперебойного питания Eaton 5S 1500VA,,КА-00005636,,ИБП CyberPower UT1500EIG 1500VA/900W LED/USB/RJ11/45 (6 IEC С13) 12V/7.5Ah*2/USB charger A/C,1500VA,no,0.85,sig,КА-00005636,agree
25259,Источник бесперебойного питания Eaton 5S 1000VA,,КА-00005734,,ИБП Сайбер Электро ЭКСПЕРТ-II-1000Р 1000VA/1000W 2U/LCD/USB/RS-232/EPO/SNMPslot/RJ11/45/(8 IEC С13./,1000VA,no,0.85,sig,КА-00005734,agree
25310,Источник бесперебойного питания IНЭЛТ SIGMA 5К 5000VA,,КА-00004366,,Источник бесперебойного питания IНЭЛТ серии GAMMA 5KR 5000VA (IN5000-SI),5000VA,yes,0.95,sig+brand,КА-00004366,agree
25311,Источник бесперебойного питания IНЭЛТ SIGMA KS 3К,25307,КА-00003956,,Источник бесперебойного питания серии SIGMA KS 3К (IN3000-SI-KS),SIGMAKS3К,no,0.85,sig,,new
