Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
645,482,Biolat,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biolat,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biolat/,
646,482,Biolight,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biolight,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biolight/,
647,482,Biomed,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biomed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/biomed/,
648,482,Bionet,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bionet,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bionet/,
650,482,BrandTech,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/brandtech,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/brandtech/,
651,482,Bullard,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bullard,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/bullard/,
652,482,Burdick,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/burdick,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/burdick/,
653,482,Cardinal Health,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical/,
654,482,Cardioline,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline/,
655,482,CardioNova,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardionova,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardionova/,
