row_number,product_external_id,name,rule,scope_reason
543,КА-00000569,107307 Корзина д/бумаг 10л сетчатая черная 022038 страна происхождения Беларусь,unclassified,household
544,КА-00000570,"048664 Ластик Format прямоуг., белый 81780 страна происхождения Украина",unclassified,office
551,КА-00000577,007369 Скобы №10 Eagle 1000шт 1004 страна происхождения Китай,unclassified,office
552,КА-00000578,101400 Скобы №10 Kangaro 1000шт 10-1М (1000),unclassified,office
558,КА-00000584,369394 Оснастка д/штампа круглая Ideal 46042 D=40мм красная в боксе 46042к страна происхождения,unclassified,office
566,КА-00000592,"041437 Файл А4+ 30 мкм Economix гладк.,глянц.,20шт. 31111 страна происхождения Украина",unclassified,office
571,КА-00000597,"046435 Файл А4 25мкм Lite текстур.,100 шт. GF0004T100L/25 страна происхождения Россия",unclassified,office
575,КА-00000601,900230 Лезвия д/ножей 18мм Forpus 10шт в пласт.контейнере FO60802 страна происхождения Китай,unclassified,household
582,КА-00000609,Наклейка 4+0,unclassified,office
591,КА-00000618,"P49045 BREMBO Комплект тормозных колодок, дисковый тормоз; страна ввоза - Евросоюз",unclassified,automotive
610,КА-00000637,"Наклейка 44*39 мм, комплект 400 шт.",unclassified,office
614,КА-00000641,333116 Клише штампа 4928 (60х30) 4928 к страна происхождения Беларусь,unclassified,office
616,КА-00000643,301023 Оснастка д/штампа Trodat 4928 60*33 черная 4928ч страна происхождения Австрия,unclassified,office
619,КА-00000646,039987 Файл А4+ 30мкм Basic текстур.матов.100шт. 31106-50 страна происхождения Украина,unclassified,office
621,КА-00000648,"044120 Блокнот A5 48л.кл.,н/спирали,обл.мел.карт.,Аккорд,асс. 20238 страна происхождения Украина",unclassified,office
627,КА-00000654,Шкаф ШРМ АК,unclassified,household
642,КА-00000669,014445 Скобы №10 Глобус 1000шт. стальные С10-1000 страна происхождения Россия,unclassified,office
643,КА-00000670,041667 Скобы №24/6 Format 1000шт. 47302 страна происхождения Украина,unclassified,office
646,КА-00000673,"037115 Файл А4 40мкм inФормат гладк.,глянц.,100шт. GF004T100/40 страна происхождения Россия",unclassified,office
661,КА-00000688,Тумба-1п2д (700x450x700),unclassified,household
694,КА-00000721,"047587  Карандаш ч/г TM Flexy заточ.трехгран.,корп.пласт.серый ВР01016 страна происхождения Китай",unclassified,office
699,КА-00000726,067163 Корзина д/бумаг 12л пласт.сетчатая черная TZ11823 страна происхождения Россия,unclassified,household
710,КА-00000737,047869 Скобы №10 Berlingo 1000шт.оцинкованные SH505 страна происхождения Китай,unclassified,office
727,КА-00000754,"Блокнот (110x145мм,40л.,А6)",unclassified,office
748,КА-00000775,"Наклейки нов(3D,30X38см,WS-01)зол.снеж",unclassified,office
749,КА-00000776,"Наклейки нов(3D,30X38см,WS-01)фиол.бел.с",unclassified,office
762,КА-00000789,"044791 Файл А4 30мкм Lite гладк.,глянц.,100шт.GF0004T100L страна происхождения Россия",unclassified,office
775,КА-00000802,042911 Карандаш ч/г TM Economix заточ.шестигран.корп.черн/желт. 11320 страна происхождения Украина,unclassified,office
785,КА-00000813,333105 Клише штампа 4913 (58x22) 4913 к страна происхождения Беларусь,unclassified,office
790,КА-00000818,056839 Оснастка д/штампа Ideal 4913 58*22мм черная страна происхождения РОССИЯ,unclassified,office
794,КА-00000822,039986 Файл А4+ 30мкм Economix глад.глянц.100шт. 31106 страна происхождения Украина,unclassified,office
795,КА-00000823,"045288 Штамп ""Копия"" (без/рамки)38*14мм Colop C20 Prin.C20 1.50 страна происхождения Австрия",unclassified,office
