external_id,reason
ФР-00001407,missing_stable_identity_or_manufacturer
КА-00003669,duplicate_current_brand_model_identity
КА-00003539,duplicate_current_brand_model_identity
КА-00001368,duplicate_current_brand_model_identity
КА-00003890,duplicate_current_brand_model_identity
КА-00005026,duplicate_current_brand_model_identity
КА-00003871,duplicate_current_brand_model_identity
ФР-00000340,duplicate_current_brand_model_identity
КА-00002775,duplicate_current_brand_model_identity
ФР-00001699,missing_stable_identity_or_manufacturer
КА-00001472,duplicate_current_brand_model_identity
ФР-00000529,duplicate_current_brand_model_identity
ФР-00000292,duplicate_current_brand_model_identity
КА-00001311,duplicate_current_brand_model_identity
КА-00004411,duplicate_current_brand_model_identity
КА-00000205,duplicate_current_brand_model_identity
ФР-00000266,missing_stable_identity_or_manufacturer
ФР-00000339,missing_stable_identity_or_manufacturer
КА-00001155,duplicate_current_brand_model_identity
КА-00002284,duplicate_current_brand_model_identity
КА-00005059,duplicate_current_brand_model_identity
ФР-00001583,duplicate_current_brand_model_identity
КА-00000277,duplicate_current_brand_model_identity
КА-00002689,duplicate_current_brand_model_identity
КА-00000973,duplicate_current_brand_model_identity
КА-00006077,duplicate_current_brand_model_identity
КА-00002798,duplicate_current_brand_model_identity
КА-00006241,duplicate_current_brand_model_identity
КА-00003912,duplicate_current_brand_model_identity
КА-00005060,duplicate_current_brand_model_identity
КА-00003451,duplicate_current_brand_model_identity
КА-00005162,duplicate_current_brand_model_identity
КА-00007088,duplicate_current_brand_model_identity
КА-00001920,duplicate_current_brand_model_identity
КА-00002650,duplicate_current_brand_model_identity
КА-00002919,missing_stable_identity_or_manufacturer
ФР-00000534,duplicate_current_brand_model_identity
КА-00004518,duplicate_current_brand_model_identity
КА-00004339,duplicate_current_brand_model_identity
ФР-00001474,duplicate_current_brand_model_identity
КА-00003638,duplicate_current_brand_model_identity
КА-00004854,duplicate_current_brand_model_identity
КА-00004976,duplicate_current_brand_model_identity
КА-00002002,duplicate_current_brand_model_identity
ФР-00000859,duplicate_current_brand_model_identity
ФР-00000999,duplicate_current_brand_model_identity
ФР-00001001,duplicate_current_brand_model_identity
КА-00003220,duplicate_current_brand_model_identity
ФР-00001216,duplicate_current_brand_model_identity
ФР-00001010,duplicate_current_brand_model_identity
ФР-00001215,duplicate_current_brand_model_identity
ФР-00001217,duplicate_current_brand_model_identity
ФР-00001475,duplicate_current_brand_model_identity
КА-00001364,duplicate_current_brand_model_identity
ФР-00001308,duplicate_current_brand_model_identity
ФР-00001004,duplicate_current_brand_model_identity
ФР-00001309,duplicate_current_brand_model_identity
КА-00002074,duplicate_current_brand_model_identity
ФР-00000860,duplicate_current_brand_model_identity
КА-00006007,missing_stable_identity_or_manufacturer
КА-00001822,duplicate_current_brand_model_identity
КА-00003208,duplicate_current_brand_model_identity
КА-00000300,duplicate_current_brand_model_identity
КА-00004419,duplicate_current_brand_model_identity
КА-00004983,missing_stable_identity_or_manufacturer
ФР-00000633,duplicate_current_brand_model_identity
КА-00002293,duplicate_current_brand_model_identity
КА-00004351,duplicate_current_brand_model_identity
КА-00005109,duplicate_current_brand_model_identity
КА-00003245,duplicate_current_brand_model_identity
КА-00002532,duplicate_current_brand_model_identity
КА-00002289,duplicate_current_brand_model_identity
КА-00002590,duplicate_current_brand_model_identity
ФР-00000336,missing_stable_identity_or_manufacturer
ФР-00000320,duplicate_current_brand_model_identity
ФР-00000754,duplicate_current_brand_model_identity
КА-00001243,duplicate_current_brand_model_identity
КА-00003454,duplicate_current_brand_model_identity
КА-00003701,duplicate_current_brand_model_identity
КА-00006569,duplicate_current_brand_model_identity
ФР-00000986,duplicate_current_brand_model_identity
КА-00005110,duplicate_current_brand_model_identity
КА-00003350,duplicate_current_brand_model_identity
КА-00001763,duplicate_current_brand_model_identity
КА-00001882,duplicate_current_brand_model_identity
КА-00001883,duplicate_current_brand_model_identity
КА-00000130,duplicate_current_brand_model_identity
КА-00003385,duplicate_current_brand_model_identity
ФР-00002110,duplicate_current_brand_model_identity
КА-00006010,duplicate_current_brand_model_identity
ФР-00001586,duplicate_current_brand_model_identity
ФР-00000280,duplicate_current_brand_model_identity
КА-00002554,duplicate_current_brand_model_identity
КА-00000990,duplicate_current_brand_model_identity
КА-00004931,duplicate_current_brand_model_identity
КА-00000986,duplicate_current_brand_model_identity
КА-00000991,duplicate_current_brand_model_identity
КА-00000987,duplicate_current_brand_model_identity
КА-00000992,duplicate_current_brand_model_identity
КА-00000985,duplicate_current_brand_model_identity
КА-00000993,duplicate_current_brand_model_identity
КА-00004532,duplicate_current_brand_model_identity
КА-00000994,duplicate_current_brand_model_identity
КА-00001244,duplicate_current_brand_model_identity
КА-00005853,duplicate_current_brand_model_identity
КА-00006886,duplicate_current_brand_model_identity
КА-00006307,missing_stable_identity_or_manufacturer
КА-00006304,duplicate_current_brand_model_identity
ФР-00002192,duplicate_current_brand_model_identity
КА-00000049,duplicate_current_brand_model_identity
КА-00006490,duplicate_current_brand_model_identity
ФР-00000382,duplicate_current_brand_model_identity
ФР-00000634,duplicate_current_brand_model_identity
ФР-00000793,duplicate_current_brand_model_identity
КА-00004737,duplicate_current_brand_model_identity
КА-00000471,duplicate_current_brand_model_identity
КА-00001065,duplicate_current_brand_model_identity
КА-00001276,duplicate_current_brand_model_identity
ФР-00001807,duplicate_current_brand_model_identity
КА-00001171,duplicate_current_brand_model_identity
КА-00006707,duplicate_current_brand_model_identity
КА-00003803,missing_stable_identity_or_manufacturer
КА-00003698,duplicate_current_brand_model_identity
КА-00003755,duplicate_current_brand_model_identity
КА-00003356,duplicate_current_brand_model_identity
КА-00002967,duplicate_current_brand_model_identity
КА-00003031,duplicate_current_brand_model_identity
КА-00005493,duplicate_current_brand_model_identity
КА-00003906,duplicate_current_brand_model_identity
ФР-00000709,duplicate_current_brand_model_identity
КА-00003993,duplicate_current_brand_model_identity
КА-00004315,duplicate_current_brand_model_identity
КА-00002438,duplicate_current_brand_model_identity
КА-00004316,duplicate_current_brand_model_identity
КА-00004440,duplicate_current_brand_model_identity
КА-00004441,duplicate_current_brand_model_identity
КА-00004442,duplicate_current_brand_model_identity
КА-00004443,duplicate_current_brand_model_identity
КА-00004483,duplicate_current_brand_model_identity
КА-00004851,duplicate_current_brand_model_identity
КА-00005522,duplicate_current_brand_model_identity
ФР-00000805,duplicate_current_brand_model_identity
КА-00002456,duplicate_current_brand_model_identity
ФР-00000408,duplicate_current_brand_model_identity
ФР-00000297,duplicate_current_brand_model_identity
КА-00001031,duplicate_current_brand_model_identity
КА-00001979,duplicate_current_brand_model_identity
КА-00001032,duplicate_current_brand_model_identity
КА-00001980,duplicate_current_brand_model_identity
КА-00000970,duplicate_current_brand_model_identity
КА-00003801,duplicate_current_brand_model_identity
КА-00003802,missing_stable_identity_or_manufacturer
КА-00001007,duplicate_current_brand_model_identity
КА-00003799,duplicate_current_brand_model_identity
КА-00001006,missing_stable_identity_or_manufacturer
КА-00003800,missing_stable_identity_or_manufacturer
КА-00001694,duplicate_current_brand_model_identity
КА-00001673,duplicate_current_brand_model_identity
ФР-00001709,duplicate_current_brand_model_identity
КА-00003913,duplicate_current_brand_model_identity
КА-00002175,duplicate_current_brand_model_identity
КА-00001966,duplicate_current_brand_model_identity
КА-00006436,duplicate_current_brand_model_identity
ФР-00000209,duplicate_current_brand_model_identity
ФР-00000052,duplicate_current_brand_model_identity
КА-00001148,duplicate_current_brand_model_identity
КА-00003537,duplicate_current_brand_model_identity
КА-00002872,duplicate_current_brand_model_identity
КА-00001878,duplicate_current_brand_model_identity
КА-00000617,duplicate_current_brand_model_identity
КА-00005715,duplicate_current_brand_model_identity
ФР-00000748,duplicate_current_brand_model_identity
КА-00005560,duplicate_current_brand_model_identity
КА-00002626,duplicate_current_brand_model_identity
КА-00002942,duplicate_current_brand_model_identity
КА-00003648,duplicate_current_brand_model_identity
КА-00004678,duplicate_current_brand_model_identity
КА-00002238,duplicate_current_brand_model_identity
ФР-00001089,duplicate_current_brand_model_identity
КА-00001792,duplicate_current_brand_model_identity
КА-00002700,duplicate_current_brand_model_identity
КА-00005617,duplicate_current_brand_model_identity
КА-00002701,duplicate_current_brand_model_identity
КА-00002736,duplicate_current_brand_model_identity
КА-00005618,duplicate_current_brand_model_identity
КА-00001500,duplicate_current_brand_model_identity
КА-00001501,duplicate_current_brand_model_identity
КА-00001863,duplicate_current_brand_model_identity
КА-00002702,duplicate_current_brand_model_identity
КА-00001877,duplicate_current_brand_model_identity
КА-00002737,duplicate_current_brand_model_identity
КА-00003398,duplicate_current_brand_model_identity
КА-00004928,duplicate_current_brand_model_identity
КА-00004970,duplicate_current_brand_model_identity
КА-00001759,duplicate_current_brand_model_identity
КА-00005908,duplicate_current_brand_model_identity
КА-00006006,duplicate_current_brand_model_identity
КА-00005542,duplicate_current_brand_model_identity
КА-00001028,duplicate_current_brand_model_identity
КА-00003934,duplicate_current_brand_model_identity
КА-00005245,duplicate_current_brand_model_identity
КА-00005244,duplicate_current_brand_model_identity
КА-00005772,duplicate_current_brand_model_identity
КА-00005246,duplicate_current_brand_model_identity
КА-00004408,duplicate_current_brand_model_identity
КА-00004042,duplicate_current_brand_model_identity
КА-00004776,duplicate_current_brand_model_identity
