product_external_id,reason,survivor_external_id
КА-00006502,strict_duplicate_candidate,КА-00006440
КА-00006031,strict_duplicate_candidate,КА-00005694
КА-00005787,strict_duplicate_candidate,КА-00005705
КА-00005786,strict_duplicate_candidate,КА-00005704
КА-00003129,strict_duplicate_candidate,КА-00003086
КА-00004726,strict_duplicate_candidate,КА-00003449
КА-00003448,strict_duplicate_candidate,КА-00002084
ФР-00001948,strict_duplicate_candidate,КА-00002608
КА-00005296,strict_duplicate_candidate,КА-00005256
КА-00003690,strict_duplicate_candidate,КА-00002618
КА-00003346,strict_duplicate_candidate,КА-00000275
ФР-00000735,strict_duplicate_candidate,ФР-00000729
КА-00004578,strict_duplicate_candidate,КА-00003774
КА-00005609,strict_duplicate_candidate,КА-00003777
КА-00006939,strict_duplicate_candidate,КА-00006592
КА-00002851,strict_duplicate_candidate,КА-00001060
КА-00005094,strict_duplicate_candidate,КА-00002215
КА-00001339,strict_duplicate_candidate,КА-00001070
КА-00005882,strict_duplicate_candidate,КА-00003303
КА-00001935,strict_duplicate_candidate,КА-00001928
ФР-00000824,strict_duplicate_candidate,РБ-00000023
ФР-00000890,strict_duplicate_candidate,КА-00005767
ФР-00002221,strict_duplicate_candidate,КА-00005767
ФР-00001123,strict_duplicate_candidate,КА-00002653
КА-00002976,strict_duplicate_candidate,КА-00002490
ФР-00000673,strict_duplicate_candidate,КА-00004737
КА-00005457,strict_duplicate_candidate,КА-00005015
ФР-00002317,strict_duplicate_candidate,КА-00000008
ФР-00002304,strict_duplicate_candidate,КА-00000006
КА-00001068,strict_duplicate_candidate,КА-00000031
ФР-00000580,strict_duplicate_candidate,ФР-00000118
ФР-00000577,strict_duplicate_candidate,ФР-00000115
ФР-00000578,strict_duplicate_candidate,ФР-00000097
ФР-00000579,strict_duplicate_candidate,ФР-00000114
ФР-00000405,strict_duplicate_candidate,ФР-00000098
ФР-00000404,strict_duplicate_candidate,ФР-00000111
ФР-00000403,strict_duplicate_candidate,ФР-00000109
КА-00004741,strict_duplicate_candidate,КА-00000454
ФР-00000498,strict_duplicate_candidate,КА-00001030
КА-00004309,strict_duplicate_candidate,КА-00002901
