product_external_id,from_category_external_id,to_category_external_id
КА-00001752,410,seo:batteries-ups
КА-00002695,410,seo:batteries-ups
ФР-00000030,410,seo:batteries-ups
ФР-00000031,410,seo:batteries-ups
ФР-00000147,410,seo:batteries-ups
ФР-00000162,410,seo:batteries-ups
ФР-00000233,410,seo:batteries-ups
ФР-00000243,410,seo:batteries-ups
ФР-00000946,410,seo:batteries-ups
