row_number,product_external_id,name,rule,scope_reason
2,КА-00002969,185772 Игровые аксесуары CANYON CNE-CMP4.Страна изготовитель: КИТАЙ,,consumer_gaming_accessory_current
10,КА-00005326,F260052_В4913_401009 рем. к-т диск.торм.! d60\Nissan X-Trail/Qashqai 07>; страна ввоза - РФ,,automotive_model_or_brake_current
11,КА-00005327,F810081_р/к направл. суп. пер.!d10 с напр.\ Nissan Qashqai/X-Trail/Mazda CX-5 07>; страна ввоза-РФ,,automotive_model_or_brake_current
