Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение,exclusion_reasons,selection_rule_version
20110,"Аккумулятор Delta DT 12008 (T9) (AGM, 0.8Ah)",,ФР-00000146,DT12008,"Аккумуляторная батарея Delta DT12008 12В, 0,8Ач Страна ввоза: РФ, Страна изготовитель: Вьетнам.",DELTADT12008,yes,0.95,sig+brand,ФР-00000146,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20111,"Аккумулятор Delta DTM 1233 I (AGM, 33Ah)",,КА-00002593,,Аккумуляторная батарея Delta DTM 1233 L,DELTADTM1233,yes,0.95,sig+brand,КА-00001918,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20112,"Аккумулятор Delta DTM 1240 I (AGM, 40Ah)",,КА-00002238,,"Аккумуляторная батарея DTM 1240 L Delta, /Вьетнам/",DTM1240,yes,0.6,sig+brand+generic,КА-00002238,agree,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20113,"Аккумулятор Delta DTM 1255 I (AGM, 55Ah)",,КА-00002130,,Аккумуляторная батарея Delta DTM 1255 L,DELTADTM1255,yes,0.95,sig+brand,КА-00002130,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20115,"Аккумулятор Delta DTM 1275 I (AGM, 75Ah)",,КА-00004022,,Аккумуляторная батарея DTM 1275 L Delta / Китай,DTM1275,yes,0.95,sig+brand,КА-00004022,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20116,"Аккумулятор Delta DTM 12100 I (AGM, 100Ah)",,КА-00002549,,"Аккумуляторная батарея Delta DTM 12100 L, страна происхождения товара Вьетнам, страна ввоза Россия",DELTADTM12100,yes,0.95,sig+brand,КА-00002549,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20117,"Аккумулятор DTM 12120 I (AGM, 120Ah)",,КА-00000260,,"DTM 12120 L Delta Аккумуляторная батарея, страна происхождения товара Вьетнам, страна ввоза Россия",DTM12120,yes,0.6,sig+brand+generic,КА-00000260,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
20119,"Аккумулятор Delta DTM 12200 I (AGM, 200Ah)",,КА-00001964,,"Аккумуляторная батарея Delta DTM 12200 L (12V,200A)/ Китай",DELTADTM12200,yes,0.95,sig+brand,КА-00001964,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20121,"Аккумулятор Delta HR 6-15 (AGM, 15Ah)",,КА-00001895,,"Аккумуляторная батарея Delta HR 6-12 6В, 12Ач Страна ввоза: РФ.",DELTAHR6,yes,0.95,sig+brand,,new,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20122,"Аккумулятор Delta HR 12-15 (AGM, 15Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00000258,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20123,"Аккумулятор Delta 12-26 (AGM, 26Ah)",,КА-00000317,,"Аккумуляторная батарея GPL 12-26 AGM/CONTACT, ВЬЕТНАМ",1226AGM,no,0.85,sig,КА-00002916,differ,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20124,"Аккумулятор Delta HR 12-40 (AGM, 40Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00000258,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20125,"Аккумулятор Delta HR 12-65 (AGM, 65Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00002753,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20126,"Аккумулятор Delta HR 12-100 (AGM, 100Ah)",,КА-00001615,,"Аккумулятор Delta HR 12-12 12V 12Ah произ-во: Вьетнам, ввоз: Россия",DELTAHR12,yes,0.6,sig+brand+generic,КА-00000258,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20128,"Аккумулятор Delta CGD 1212 (AGM, 12Ah)",4622,КА-00003669,,"Аккумулятор Ventura GP 12-12/AGM, ВЬЕТНАМ",1212AGM,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20133,"Аккумулятор Delta HRL 12-180 X (AGM, 180Ah)",,КА-00005187,,"Аккумуляторная батарея Delta FTS 12-180 X, QHI3MS8 /Вьетнам/",12180X,yes,0.95,sig+brand,КА-00000259,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20134,"Аккумулятор Delta HRL 12-7.2 X (AGM, 7.2Ah)",,КА-00001027,,Аккумуляторная батарея Delta HRL 12-7.2 X /Китай/,DELTAHRL127,yes,0.6,sig+brand+generic,КА-00001027,agree,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20135,"Аккумулятор HRL 12-9 (1234W) X (AGM, 9 Ah)",4622,КА-00002467,,Аккумулятор HRL12-45X,АККУМУЛЯТОРHRL12,no,0.95,sig,,new,brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20136,"Аккумулятор Delta HRL 12-12 X (AGM, 12Ah)",,КА-00001251,,Аккумуляторная батарея Delta HRL 12-12 X /Вьетнам/,DELTAHRL1212,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20137,"Аккумулятор HRL 12-18 X (AGM, 18Ah)",4622,КА-00002467,,Аккумулятор HRL12-45X,АККУМУЛЯТОРHRL12,no,0.95,sig,,new,brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20138,"Аккумулятор Delta HRL 12-26 X (AGM, 26Ah)",,КА-00001894,,Аккумуляторная батарея Delta HRL 12-26 Х (12V 28Ah),DELTAHRL1226,yes,0.6,sig+brand+generic,КА-00001894,agree,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20139,"Аккумулятор Delta HRL 12-33 X (AGM, 33Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20140,"Аккумулятор Delta HRL 12-45 X (AGM, 45Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20141,"Аккумулятор Delta HRL 12-55 X (AGM, 55Ah)",,КА-00005563,,Аккумулятор Delta HRL 12-55 X(12V 55A)/ Китай,DELTAHRL1255,yes,0.95,sig+brand,КА-00005563,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20142,"Аккумулятор Delta HRL 12-65 X (AGM, 65Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20143,"Аккумулятор Delta HRL 12-75 X (AGM, 75Ah)",,КА-00004758,,"Аккумуляторная батарея Delta HRL 12-75 X, OURTO1R / Вьетнам /",DELTAHRL1275,yes,0.95,sig+brand,КА-00004758,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20144,"Аккумулятор Delta HRL 12-80 X (AGM, 80Ah)",,ФР-00000273,HRL12-80,Аккумуляторныя батарея Delta HRL12-80,DELTAHRL1280,yes,0.95,sig+brand,ФР-00000273,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20145,"Аккумулятор Delta HRL 12-90 X (AGM, 90Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12,yes,0.6,sig+brand+generic,КА-00000259,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20146,"Аккумулятор Delta HRL 12-100 X (AGM, 100Ah)",,КА-00006757,,Аккумуляторная батарея Delta FTS 12-100 X /Китай/,12100X,yes,0.95,sig+brand,КА-00000259,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20147,"Аккумулятор Delta HRL 12-140 X (AGM, 140Ah)",,КА-00000423,,Аккумуляторная батарея Delta HRL 12-140 Х /Вьетнам/,DELTAHRL12140,yes,0.95,sig+brand,КА-00000423,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20148,"Аккумулятор Delta FT 12-50 M (AGM, 50Ah)",,КА-00001863,,Аккумуляторная батарея Delta FT 12-50 M,DELTAFT1250,yes,0.95,sig+brand,КА-00001863,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
