product_external_id,reason
КА-00006041,not_linked_to_microchips_by_at_dry_run_161
КА-00007051,not_linked_to_microchips_by_at_dry_run_161
ФР-00000498,not_linked_to_microchips_by_at_dry_run_164
КА-00003691,not_linked_to_microchips_by_at_dry_run_175
КА-00004799,not_linked_to_microchips_by_at_dry_run_190
КА-00004800,not_linked_to_microchips_by_at_dry_run_190
КА-00006382,not_linked_to_microchips_by_at_dry_run_190
